[00:03] Speaker_E | 'Kay .
"[13:57] Speaker_E | Oh yeah , let's take that ."
"[14:04] Speaker_B | Yes . Um the you you the data is of the form you have um three identification letter . So B_E_D_ or B_B_D_ or something , and that's always the same group . And then after that there's um a number like O_O_ one , O_O_ two . So , it's a"
[14:11] Speaker_E | Okay .
[14:13] Speaker_E | Okay .
[14:15] Speaker_E | Okay .
"[14:30] Speaker_B | Yeah , but that's that's really quite easy to see because they're named ."
[14:30] Speaker_A | Hmm .
"[14:52] Speaker_B | Yes . But I I mean as um the start uh start times um start for each meeting at zero , you could just probably just um add the um final second time to the next meeting and so on and just put it all together . But then we would have to change um the information about who on which channel it was set , um to by which person it was set . And that is actually stored in another X_M_L_ document ."
[14:57] Speaker_E | Mm-hmm .
[15:12] Speaker_E | Yeah .
[15:26] Speaker_A | Hmm .
"[15:26] Speaker_E | 'Kay . Um so is is anybody creating an uh a real raw text thing at the moment , like which is just the words ?"
"[15:34] Speaker_A | Yeah , that's what I'm gonna need ."
"[15:37] Speaker_E | Yeah , tha 'cause that's what I'm gonna need as well ."
[15:43] Speaker_A | Yes .
"[15:44] Speaker_A | Yeah , it's just mo changing it a bit ."
[15:45] Speaker_C | Okay .
"[15:50] Speaker_B | No , it's for every single word ."
[15:53] Speaker_D | We can just change the code .
"[15:53] Speaker_B | Or for every single utterance . Yeah , that depends on what you want ."
[15:55] Speaker_A | Yeah .
[15:56] Speaker_E | So what do you mean by just not print out that ?
[16:03] Speaker_E | Okay .
"[16:05] Speaker_E | If you're into it , can you make a text file which just like makes just the words ? 'Kay . Do you want it straight flowing , 'cause I would need something that marks the end of uh of uh is is yours segmented by topics then that like is there any information that you have to the topic , to the automated topic topic segmentation ? Oh then I need something different later anyway . Okay , but for now , if you c"
"[16:22] Speaker_B | No , I didn't do a sea no ."
"[16:27] Speaker_A | No , but uh that's what M_L_C_ seg does . It it marks the end of each segment ."
[16:34] Speaker_A | Yeah .
[16:44] Speaker_A | Yeah .
[16:53] Speaker_B | For the series .
"[17:02] Speaker_E | But if you can put it in one single mega-file , that would be quite useful for me ."
[17:06] Speaker_B | So uh only words um per meeting series .
[17:06] Speaker_A | Oh .
[17:16] Speaker_A | Yeah .
"[17:18] Speaker_A | Yeah , for me it's better if they're by meeting ."
[17:23] Speaker_B | Uh-huh .
[17:27] Speaker_B | Yes .
"[17:30] Speaker_B | Yeah , they will just I will just take I would uh take over the names they have anyway ."
"[17:36] Speaker_E | Yeah . Is is it something that's easily enu like to enumerate over ? Is it some just some ordered pattern ? Okay , cool ."
"[17:40] Speaker_B | Yeah , yeah ."
"[17:47] Speaker_E | Okay , cool . Yeah ."
[17:57] Speaker_E | In the right order .
[18:05] Speaker_B | Um ord base dot times .
"[18:14] Speaker_C | Yeah , that doesn't matter too much , I think ."
[18:16] Speaker_B | Just after th mm-hmm . 'Kay .
[18:20] Speaker_B | Ordered . Only words .
[18:27] Speaker_E | When do you think you'll have um like a primitive segmentation by some ready-made topic segmentation by some ready-made tool ready ?
[18:35] Speaker_A | Then that'll be really easy to do once they've got the raw text . It's just a case of running the script .
[18:39] Speaker_E | Okay .
"[18:41] Speaker_E | Okay , cool . 'Cause I'll need that then when it's done ."
"[18:44] Speaker_A | Yeah , I mean hopefully this week ."
[18:46] Speaker_E | Okay .
"[18:47] Speaker_B | Um and I think um for all the corpus , it's just from I know from other times , it's um nine megami byte to have I mean should be should be similar to have the words . Should be ."
[18:54] Speaker_E | Mm-hmm .
[18:57] Speaker_D | Is that it ? That's quite good .
[19:02] Speaker_B | Na um all the words together um for all the meetings .
[19:06] Speaker_A | Alright .
[19:07] Speaker_E | That sounds quite reasonable . That's nine nine characters over okay .
"[19:09] Speaker_B | That's what I'm guessing that's , you know , um what I because nine mega-byte is what I got for when I said for every um utterance , this is goes from there to there and"
[19:22] Speaker_B | takes takes seconds .
[19:29] Speaker_E | Yes .
[19:33] Speaker_E | Okay .
"[19:35] Speaker_E | Yeah . Yeah , I guess we can probably process the data for all different series and then check which series is the best for the presentation . It sounds quite reasonable , nine megabyte . I mean if you think if it's r roughly a million words and nine characters per word sounds realisti"
[19:41] Speaker_D | Yeah .
[19:55] Speaker_E | Yeah .
"[19:58] Speaker_E | Yes , I'm gonna build a dictionary then from that . Like just a list of the words that maybe a list of the words with the frequencies or a list of the words sorted alphabetically or numerically . What what does anyone want ? Does this there any wishes for dictionaries ?"
"[20:16] Speaker_D | I could just use it with the frequency , I think , until the information density thing's finished . That would be really useful ."
[20:24] Speaker_B | Mm-hmm . Mm . So so um I will probably send um just one file of the first meeting um to all those who need it so that you can have a look whether that's what you want .
[20:25] Speaker_C | Hmm .
[20:26] Speaker_E | So I'll create a dictionary .
"[20:38] Speaker_E | Add add the structure , yeah . And then the actual file we can probably like copy from your home directory or something like it ."
[20:39] Speaker_C | Mm-hmm .
"[20:44] Speaker_B | Yeah , I mean if it's just for one meeting , it's really not too big ."
"[20:47] Speaker_E | Yeah yeah , but I'm sa I'm saying for the whole thing in the end . Then like the big thing we probably shouldn't do by email ."
[20:49] Speaker_B | Yeah .
[20:55] Speaker_E | Yeah .
[20:56] Speaker_C | How long would it take to make the frequency counts with a Java hash table ?
"[21:03] Speaker_E | Oh , from the time I get the file I can do that in an afternoon , the next sort of the next morning . Oh , you mean how long processing time it takes ."
[21:08] Speaker_C | Yeah .
"[21:11] Speaker_C | No , how long you would have to program something ."
"[21:13] Speaker_E | Ah , it's a it's a bog standard algorithm . I've I've sort of I've written it for for DIL just in half an hour or something similar . It's just you put them in a hash table and and say well if it exists already in the hash table then you increase the count by one and I'll probably implement some filter for filtering out numbers or something ."
[21:19] Speaker_C | Okay .
[21:26] Speaker_C | Mm .
"[21:30] Speaker_C | Because it's quite easy in Perl as well , it's just a line of code for counting all the words and yeah , it's it's by hashes ."
[21:37] Speaker_E | Really ? How do you do that ?
[21:41] Speaker_C | Yeah .
[21:55] Speaker_C | 'Kay .
"[22:01] Speaker_D | If you're doing it in Java , could you um serialize the output as well as writing it to a file ? If you're doing it in Java , could you serialize the um dictionary , yeah , as well as writing it to a file ?"
[22:07] Speaker_E | Sorry ?
[22:11] Speaker_E | The hash table ?
[22:14] Speaker_E | Uh I've never serialized anything .
[22:16] Speaker_D | It's really easy .
[22:18] Speaker_E | Wouldn't that be absolutely massive though ?
[22:21] Speaker_D | I don't see why it'd be any more massive than the file .
[22:24] Speaker_E | And then seriali and then write the serialization to a file . So you want like a se like a file which is the serialization of a hash table .
[22:27] Speaker_D | Yeah .
[22:31] Speaker_D | It just saves you parsing the um
[22:34] Speaker_E | Okay .
[22:35] Speaker_D | file representation of it . And now 'cause I would be using it in Java anyway . So I'd just be building the data structure again .
"[22:41] Speaker_E | Yeah . I I'll I'll check if I understand how it works . I mean otherwise I can give you the code for loading a dictionary . Give you my my it's just it's it's sort of it's a line break separated file , you know ."
"[22:51] Speaker_D | Yeah , but it seems like a bit silly to be parsing it over and over again kinda thing ."
[22:57] Speaker_E | Yeah .
"[23:02] Speaker_E | Yeah , I'll see if I understand how to serialize . There's a there's a serialise command so that gives me one mega mother of a s"
[23:07] Speaker_D | I would've thought that um I think all the collections and things implement serializable already .
[23:17] Speaker_D | I think they might do .
"[23:20] Speaker_E | Yes , is that pretty much"
[23:24] Speaker_E | pretty much it ?
[23:32] Speaker_D | Tonight I'll try and um I'll either work some more on uh the T_F_I_D_F_ summarizer or do the audio thing .
[23:41] Speaker_E | Hmm .
[23:45] Speaker_E | I'll build a dictionary as soon as I get the text .
[23:55] Speaker_E | When do we have to meet again then with this ?
[23:59] Speaker_A | Don't know . Suppose we're just getting on with all our
[24:02] Speaker_D | Yeah .
[24:04] Speaker_E | How are we gonna do a demonstrator next week ? My God .
[24:07] Speaker_D | Do we have to demonstrate something next week ?
[24:07] Speaker_A | I know . Wa
[24:09] Speaker_B | What do we have to demonstrate ?
"[24:10] Speaker_E | No no , not demonstrate , but like didn't you say that uh didn't we sort of agree that it would be useful to have a demonstrator of it , like some primitive thing working next week ."
"[24:19] Speaker_A | Yeah . Yeah , he suggested that we could have an uh initial prototype ."
"[24:26] Speaker_A | I know , I'd b I'd be surprised if we can get anything working by next week ."
[24:27] Speaker_D | Yeah .
[24:41] Speaker_A | Alright .
"[24:52] Speaker_D | Yeah , I know ."
[24:58] Speaker_D | I think it's 'cause we had to specify it ourselves that it's not as um like focus the specification of most um work we have to do .
"[25:06] Speaker_E | Yeah , but it at the moment but at the moment it's also an implementational level . Like with the data structures , I'm just like over these vague ideas of some trees , I'm f"
[25:13] Speaker_D | Yeah .
[25:15] Speaker_D | Once we start doing it it will all become more or less obvious I think anyway .
