[00:03] me011 | OK . So .
[38:38] fe008 | The claim that
[38:39] fe008 | uh words that get stressed
[38:40] fe008 | are easier to recognize .
[38:41] me025 | I see .
"[38:42] fe008 | So ,"
[38:43] me025 | Yeah .
[38:43] fe008 | I think it c there 's be sort of a benefit with very minimal input .
"[38:46] fe008 | Cuz when you listen to a sentence ,"
"[38:48] fe008 | If it 's contrastive stress you say "" Oh ! that word was stressed """
"[38:54] fe008 | so , I mean ,"
[38:56] me011 | Mm - hmm .
[38:57] fe008 | it 's just it 's there .
[38:57] me025 | OK . If you think it won't slow you down at all .
[38:58] fe008 | It 's not it doesn't take any thinking .
[38:59] me025 | Yeah .
"[38:59] fe008 | I 'm not going to talk about , you know"
[39:04] fe008 | if th if there 's a
"[39:05] fe008 | prominent word , to indicate it ."
[39:06] me011 | Sure .
"[39:07] me025 | Yeah , that 's great ."
[39:08] me011 | All caps .
"[39:09] me025 | No , well , presumably there 's a"
[39:09] fe008 | Whatever .
[39:10] fe008 | Whatever .
[39:11] me025 | an annotation standard for prefix characters or something like that . That 's what they 're using here .
"[39:15] fe008 | different ways , a and so just as long as it 's systematic in my view ,"
[39:16] me025 | OK .
[39:18] fe008 | you can always
"[39:18] me025 | Yeah , exactly ."
[39:19] fe008 | filter it into
[39:20] me025 | Exactly .
[39:21] me025 | Exactly .
[39:26] me011 | Anything else ?
"[39:28] me025 | Well , so , um"
"[39:32] me025 | I mean ,"
"[39:33] me011 | I 'm gonna go download "" Transcriber "" and Jane and I will look at it"
[39:34] me025 | How many meetings ? What about r
[39:36] me025 | our recording schedule ?
[39:37] me011 | Oh
[39:38] me025 | How many meetings are we going to record ?
[39:40] me025 | Um .
[39:41] me025 | Which ones are we going to transcribe ?
[39:44] me025 | Um .
[39:46] me011 | Well I think the answer is we need to record
[39:48] me011 | as many as we can .
[39:50] me025 | OK .
[39:50] me011 | Right ? I don't see any reason not to try to record
[39:53] me011 | a meeting or two a week .
[39:55] me025 | Absolutely .
[39:55] me011 | Um .
"[39:56] me011 | I mean , more if we can ."
[39:58] me011 | And uh
[40:01] me011 | um
[40:01] me011 | I wanna start by in the next couple weeks just doing
[40:04] me011 | the Speech group
[40:05] me011 | until we get to the point where we 're fairly comfortable with the hardware and the software and everything works .
[40:05] me025 | Yeah .
[40:10] me011 | and then I think I 'll also uh a Jerry volunteered to have his group do a few .
"[40:14] me011 | So , I 'll uh"
[40:15] me011 | try to get those as well .
"[40:18] fe008 | How many of these do you have ,"
[40:18] me025 | OK .
[40:19] fe008 | these near mikes ?
[40:20] me025 | Five .
[40:21] me011 | We have five of the wireless .
"[40:21] fe008 | Oh , OK ."
[40:23] fe008 | OK .
[40:23] me011 | And then we
[40:24] me011 | going to be getting a bunch of wired ones as well .
[40:27] me011 | I mean notice that
[40:28] me011 | n
[40:28] me025 | Well .
[40:28] me011 | your you you stood up and walked around . None of the rest of us have .
[40:31] me011 | And so we could have wired mikes and I wouldn't be a big deal .
[40:31] fe008 | Oh .
"[40:34] fe008 | Oh , I see ."
[40:34] me011 | for bigger meetings .
[40:35] fe008 | OK .
[40:36] fe008 | I see .
[40:37] me011 | So .
[40:37] fe008 | Interesting .
[40:38] fe008 | Very interesting .
"[40:40] fe008 | Wow ,"
"[40:40] fe008 | I 'm just really impressed by this , um ,"
[40:42] fe008 | yeah .
[40:43] me011 | It really makes you feel like you 're doing real work
[40:44] me011 | when you get all this hardware .
"[40:46] fe008 | Well , this is , I mean , compared to the way people"
[40:53] me025 | Uh - huh .
"[40:55] fe008 | and they do have DAT recorders ,"
[40:57] me025 | Mm - hmm .
[40:57] fe008 | but I mean this is just
"[40:58] fe008 | wonderful , the uh"
[40:59] fe008 | added level of
"[41:01] fe008 | yeah , compactness in the"
"[41:03] me025 | If we can do anything with it , yeah ."
[41:03] fe008 | channels .
[41:04] me011 | Yep .
[41:04] fe008 | I do find myself whispering .
[41:07] fe008 | My normal s .
[41:07] fe008 | I don't know why .
"[41:09] me011 | I had noticed that you were talking quietly , and I was actually going to ask you ."
[41:09] fe008 | It 's bizarre .
[41:11] me011 | I was going to ask you to speak up .
[41:12] fe008 | pattern .
[41:13] me011 | But I didn't want you to feel self - conscious .
[41:15] fe008 | I think the problem is that I 'm afraid that I 'm talking into someone 's ear .
[41:18] me011 | Oh .
[41:20] fe008 | And I realize now that you have volume
[41:23] fe008 | uh
[41:23] fe008 | control . But uh
[41:25] fe008 | Yeah .
[41:26] me025 | I don't feel like you 're
[41:27] me025 | speaking
[41:28] me025 | unnaturally quietly .
[41:28] fe008 | Oh good .
[41:29] me025 | I mean I feel like it 's all
[41:29] fe008 | OK . Good .
[41:31] me025 | quite normal .
"[41:31] me022 | Well , I hear what you 're saying ."
[41:32] me025 | Yeah .
[41:34] fe008 | Good .
[41:35] me025 | Eric 's really got it
"[41:36] me025 | easy cuz he 's got the lapel mike , which is so unobtrusive ."
[41:39] fe008 | That 's great .
[41:39] me022 | I asked if somebody else wanted the lapel mike .
[41:41] me022 | Somebody else can take it next time .
"[41:41] me011 | I 've been trying to rotate it through . So , Dan will get it next time ."
[41:44] fe008 | Are these more expensive or less expensive than this kind ?
[41:46] me025 | They 're much more expensive .
[41:47] fe008 | OK .
[41:48] me025 | Which I don't understand
[41:49] me025 | but there it is .
[41:49] fe008 | It would be like the television .
"[41:50] fe008 | effect or something , maybe ."
"[41:52] me025 | Right , it 's because"
[41:52] me025 | they make people feel like television stars .
[41:55] me011 | Do you feel like a television star ?
[41:55] me025 | So you can charge more for it .
[41:56] fe008 | That 's probably why I thought he was the chairman .
"[41:58] me025 | Yeah , that 's it ."
[41:59] me025 | That must be it .
"[41:59] me011 | That that makes sense , right ?"
[42:00] me022 | That 's it !
[42:00] me025 | Yeah .
[42:03] me022 | Right .
"[42:04] me011 | N You should have run it under your sweater , though ."
[42:06] me022 | Right .
[42:07] me022 | Yes .
"[42:10] me025 | OK . Well , I don't mind ."
"[42:11] me025 | Oh , we should read some more numbers , then ."
[42:13] me025 | Are we are we are we there ?
[42:13] fe008 | Oh good .
[42:14] me022 | Yeah .
[42:14] me025 | Are we at that point ?
[42:14] me011 | I think we 're there .
[42:14] fe008 | Good .
[42:16] me022 | How much space do we have left ?
[42:17] fe008 | Good .
[42:18] me025 | More space than you can We 've got two hours of space now .
[42:18] me011 | uh tons .
[42:20] me011 | He he he changed the downsampling .
[42:20] me022 | Oh really .
[42:21] me025 | Yeah .
"[42:23] me011 | OK , so this is Adam , on uh"
[42:23] me022 | Oh !
"[42:25] me011 | mike number two , wireless headset"
[42:27] me025 | In theory . Assuming it 's recording anything .
"[43:07] me022 | OK , this is Eric on"
"[43:09] me022 | microphone number one , uh channel zero"
"[44:00] fe008 | Here , here !"
"[44:48] fe008 | OK , this is Jane ."
[44:56] fe008 | OK .
[45:34] me011 | OK ?
[45:35] me025 | OK .
[45:35] me011 | Thanks very much .
"[45:41] me011 | Just control - C , Dan ?"
[45:42] me025 | Yep .
[45:44] fe008 | Alrighty .
