[00:01] me013 | Are we on ?
"[57:28] mn005 | you are considering now , eh , a very sophisticated , eh , ehm , eh ,"
"[57:34] mn005 | set of , eh , graphic s eh , eh , ehm , si symbols to to transcribe . No ?"
"[57:43] fe008 | Oh , I w Uh - huh ."
[57:51] mn005 | t to mark the different situations during the transcription - during the transcription . No ?
"[57:57] fe008 | Well , you 're saying So , uh , symbols for differences between laugh , and sigh , and and and slam the door and stuff ? Or some other kind of thing ?"
[58:02] mn005 | Yeah .
"[58:07] fe008 | Well , I wouldn't say symbols so much . The the main change that I that I see in the interface is is just that we 'll be able to more finely c uh ,"
[58:15] mn005 | Yeah .
[58:16] fe008 | time things . But I I also st there was another aspect of your work that I was thinking about when I was talking to you which is that it sounded
[58:17] mn005 | Yeah .
[58:21] fe016 | Hmm .
"[58:23] fe008 | to me , Liz , as though you and , uh , maybe I didn't q understand this , but it sounded to me as though part of the analysis that you 're doing involves taking segments which are of a particular type and putting them together ."
"[58:32] fe008 | And th so if you have like a p a s you know , speech from one speaker , then you cut out the part that 's not that speaker , and you"
[58:33] mn005 | Yeah .
[58:36] fe016 | Mm - hmm .
[58:39] fe008 | combine segments from that same speaker to and run them through the recognizer . Is that right ?
[58:45] fe016 | Well we try to find as close
"[58:47] fe016 | of start and end time of as we can to the speech from an individual speaker ,"
[58:51] fe008 | Mm - hmm .
"[58:52] fe016 | because then we we 're more guaranteed that the recognizer will for the forced alignment which is just to give us the time boundaries ,"
[58:58] fe016 | because from those time boundaries then the plan is to compute prosodic features .
[59:02] fe008 | Mm - hmm .
[59:02] fe016 | And the sort of more space you have that isn't the thing you 're trying to align the more
[59:09] fe008 | Mm - hmm .
"[59:09] fe016 | Um , so , you know , that that it would help to have"
[59:11] fe008 | Cuz i OK .
"[59:23] fe016 | to have closer , um ,"
"[59:26] fe016 | time you know , synch times , basically , around the speech that gets transcribed in it , or both . And it 's just sort of a open world right now of"
"[59:35] fe016 | exploring that . So I just wanted to see , you know , on the transcribing end from here things look good ."
"[59:41] fe016 | Uh , the IBM one is more it 's an open question right now . And then the issue of"
"[59:46] fe016 | like global processing of some signal and then ,"
"[59:50] fe016 | you know , before we chop it up is is yet another way we can improve things in that ."
[59:53] me018 | What about increasing the flexibility of the alignment ?
[59:55] fe008 | OK .
[59:56] me018 | Do you remember that thing that Michael Finka did ? that experiment he did a while back ?
[59:58] fe016 | Mm - hmm .
"[00:05] fe016 | The problem is just that the acoustic when the signal - to - noise ratio is too low , um ,"
"[00:16] me018 | Oh , so that 's the problem , is the the signal - to - noise ratio ."
"[00:17] fe016 | Yeah . It 's not the fact that you have like I mean , what he did is allow you to have ,"
"[00:22] fe016 | uh , words that were in another segment move over to the at the edges of of segmentations ."
[00:24] me018 | Mm - hmm .
[00:26] me018 | Or even words inserted that weren't weren't there .
"[00:27] fe016 | Right , things things near the boundaries where if you got your alignment wrong cuz what they had done there is align and then chop ."
[00:29] me018 | Mm - hmm .
[00:33] me018 | Mm - hmm .
"[00:40] fe016 | uh , because of the fact that there 's enough acoustic"
"[00:43] fe016 | signal there t for the recognizer to to eat , as part of a word . And it tends to do that . S"
[00:49] mn005 | Yeah .
"[00:50] fe016 | So , uh ,"
[00:52] fe016 | but we probably will have to do something like that in addition .
"[00:56] fe016 | Anyway . So , yeah , bottom bottom line is just I wanted to make sure I can"
"[01:00] fe016 | be aware of whoever 's working on these signal - processing techniques for ,"
[01:03] mn005 | Yeah .
"[01:04] fe016 | uh , detecting energies , because that that 'll really help us ."
[01:16] fe008 | OK .
"[06:53] me013 | OK , we 're done ."
