[00:00] me001 | How about channel
"[50:08] me013 | then by switching learning machines and furthermore which learning machine was on top kind of depended on where you were in this picture , so , uh ,"
[50:15] me018 | This was my concern about the recognizer in Aurora .
[50:21] me018 | That the differences we 're seeing in the front - end
[50:23] me013 | Yeah .
[50:23] me018 | is b are irrelevant once you get a real recognizer at the back - end .
[50:25] me013 | Yeah .
[50:28] me013 | Yeah .
[50:28] me018 | You know ?
"[50:29] me013 | Yeah , could well be ."
"[50:30] me013 | So so , I mean , that was that was kind of , you know , it 's a good point ,"
"[50:35] me013 | but the problem I had with it was that the implications out of this was that ,"
"[50:40] me013 | uh , the kind of choices you make about learning machines were therefore irrelevant"
[50:44] me013 | which is not at n t as for as I know in in tasks I 'm more familiar with @ @ is not at all true .
"[50:50] me013 | What i what is is true is that different learning machines have different properties ,"
"[50:54] me013 | and you wanna know what those properties are . And someone else sort of implied that well we s you know , a all the study of learning machine we still don't know what those properties are ."
"[51:01] me013 | We don't know them perfectly , but we know"
[51:13] me018 | But doesn't their conclusion just sort of you could have guessed that before they even started ? Because
"[51:18] me018 | if you assume that these learning things get better and better and better ,"
"[51:23] me018 | then as you approach there 's a point where you can't get any better , right ? You get everything right . So they 're all approaching ."
[51:27] me013 | Yeah .
"[51:27] me011 | But No , but there was still a spread . They weren't all up They weren't converging . They were all still spread ."
[51:31] me013 | It w
"[51:31] me018 | But what I 'm saying is that th they have to , as they all get better , they have to get closer together ."
"[51:33] me011 | But they Right , right . Sure . But"
[51:35] me011 | they hadn't even come close to that point . All the tasks were still improving when they hit a billion .
[51:39] me013 | Yeah .
"[51:40] me018 | But they 're all going the same way , right ? So you have to get closer ."
[51:42] me013 | Eventually . O one would thi
[51:43] me011 | But they didn't get closer .
[51:45] me018 | Oh they didn't ?
"[51:47] me013 | well that 's getting cl I mean ,"
"[51:49] me013 | yeah , the spread was still pretty wide that 's th that 's true , but but , uh ,"
[51:51] me011 | Yep .
"[51:54] me013 | I think it would be irntu intu intuition that this would be the case , but , uh , to really see it and to have the intuition is quite different , I mean , I think somebody w w"
"[52:02] me013 | let 's see who was talking about earlier that the effect of having a lot more data is quite different in Switchboard than it is in in Broadcast News , yeah ."
[52:08] me011 | Yeah . It was Liz . Yeah .
[52:16] me013 | Yeah .
"[52:16] fe016 | you 're you can assume similar distributions , but if you wanted to do disambiguation on a different type of ,"
"[52:22] fe016 | uh , test data then your training data , then that extra data wouldn't generalize , so ."
[52:22] me011 | Right .
[52:27] me013 | Right .
"[52:27] me011 | But , I think one of their p"
"[52:28] me011 | They they had a couple points . w Uh ,"
"[52:30] me011 | I think one of them was that "" Well , maybe simpler algorithms and more data are is better "" . Less memory , faster operation , simpler ."
"[52:38] me011 | Right ? Because their simplest , most brain - dead algorithm did pretty darn well"
[52:41] me013 | Mm - hmm .
[52:42] me011 | when you got gave it a lot more data . And then also
"[52:45] me011 | they were saying , "" Well , m You have access to a lot more data . Why are you sticking with a million words ? "" I mean , their point was that this million - word corpus that everyone uses is apparently ten or fifteen years old ."
"[52:55] me011 | And everyone is still using it , so ."
[52:58] me013 | Yeah .
"[52:59] me013 | But anyway , I I I think it 's it 's just the the i it 's it 's it 's not really the conclusion they came to so much ,"
"[53:01] me011 | But we could talk about this stuff , I think this would be fun to do ."
[53:07] me013 | as the conclusion
"[53:09] me013 | that some of the , uh , uh , commenters in the crowd came up with that , uh , you know , this therefore is further evidence that , you know , more data is really all you should care about , and that I thought was just kind of"
[53:12] me011 | Right .
"[53:21] me013 | going too far the other way , and and the the , uh ,"
[53:21] me011 | Machine - learning .
"[53:25] me013 | one one person ga g g got up and made a a brief defense , uh , but it was a different kind of grounds , it was that that , uh ,"
"[53:32] me013 | i w the reason people were not using so much data before was not because they were stupid or didn't realize data was important , but in fact th they didn't have it available ."
"[53:41] me013 | Um , but the other point to make a again is that , uh , machine learning still does matter ,"
"[53:47] me013 | but it it matters more in some situations than in others , and it and also there 's there 's not just mattering"
"[53:54] me013 | or not mattering , but there 's mattering in different ways . I mean , you might be in some situation where"
"[53:59] me013 | you care how much memory you 're using ,"
[54:02] me011 | Right .
[54:08] me011 | for your some new task .
"[54:09] fe016 | Or done another language , or I mean , you so there 's papers on portability and rapid prototyping and blah - blah - blah , and then there 's people saying , "" Oh , just add more data . "" So , these are like two different religions , basically ."
[54:11] me011 | Yep .
[54:11] me013 | Yeah .
[54:13] me011 | Right .
[54:15] me013 | Yeah .
[54:17] me013 | And there 's cost !
[54:17] me011 | Mm - hmm .
[54:18] me011 | Cost . Yeah . That 's a big one .
[54:27] me013 | if you uh one person
"[54:29] me013 | has a system that requires ten thousand hours to train on ,"
"[54:33] me013 | and the other only requires a hundred ,"
"[54:35] me013 | and they both do about the same because the hundred hour one was smarter ,"
[54:40] me013 | that 's gonna be better .
[54:41] me011 | Yep .
"[54:41] me013 | because people , I mean , there isn't gonna be just one system that people train on and then that 's it for the r for all of time . I mean , people are gonna be"
"[54:53] me011 | Yeah , so that 's one of the slides they put up ."
[54:55] me013 | Yeah .
"[54:57] fe008 | this p people kept saying , "" Can I see that slide again ? "" and then they 'd make a comment , and one person said ,"
"[54:59] fe016 | Yeah , yeah ."
[55:07] me001 | Yeah .
"[55:08] fe016 | But th you know , the same thing has happened in computational linguistics ,"
"[55:12] fe016 | right ? You look at the ACL papers coming out , and now there 's sort of a turn back towards , OK we 've learned statistic you know , we 're basically getting what we expect out of some statistical"
[55:23] me011 | Yep . I think the matters is the thing that that was misleading .
"[55:26] fe008 | That was very offending , very offending ."
"[55:27] fe016 | Yeah , yeah ."
[55:30] me013 | Right .
"[55:31] me018 | Maybe they should have said "" focus "" or something ."
"[55:33] me011 | Yeah . I mean , so . And I 'm saying the same thing happened with speech recognition , right ? For a long time people were hand - c coding linguistic rules and then they discovered machine - learning worked better ."
"[55:42] me011 | And now they 're throwing more and more data and worrying perhaps worrying less and less about , uh , the exact details of the algorithms ."
[55:52] me013 | Yeah .
[55:53] fe008 | Yeah .
"[55:54] me013 | Anyway , tea is tea is , uh , starting ."
[55:54] me011 | Shall we read some digits ?
[56:00] me013 | Let 's do it all at once . We @ @ let 's try that again .
[56:01] fe016 | Yes !
"[56:01] fe008 | Yeah , that 's good ."
"[56:03] fe016 | So , and maybe we won't laugh this time also ."
"[56:04] me011 | So remember to read the transcript number so that , uh , everyone knows that what it is ."
[56:09] me011 | And
"[56:10] me011 | ready ? Three , two , one ."
[56:11] fe008 | Yeah .
[56:55] me011 | Yep . That 's really fast .
[56:58] me013 | Yeah .
[56:59] me013 | Yeah .
