[01:32] fe016 | Oh .
"[40:40] me001 | No , but if we 're gonna segment it , like if there 's one speaker in there ,"
"[40:43] me001 | that says "" OK "" or something ,"
"[40:48] fe016 | it 's not the fact that we can't process a twenty second segment , it 's the fact that ,"
[40:57] fe008 | Yeah .
"[40:57] fe016 | if someone has a very short utterance there , and that 's where ,"
"[41:00] fe016 | we ,"
"[41:01] fe016 | might wanna have this individual , you know ,"
[41:03] mn014 | Yep .
[41:03] fe016 | ha have your pre pre - process input .
[41:05] mn014 | Yeah .
[41:05] mn014 | Sure .
"[41:06] fe016 | And I just don't know , I have to run it ."
"[41:06] mn014 | I I I thought that perhaps the transcribers could start then from the those mult multi - channel ,"
[41:06] fe008 | That 's very important .
"[41:12] mn014 | uh , speech - nonspeech detections , if they would like to ."
[41:14] fe016 | Right .
"[41:14] fe008 | In in doing the hand - marking ? Yeah that 's what I was thinking , too ."
[41:15] mn014 | Yeah .
[41:16] fe016 | Right .
"[41:17] fe016 | So that 's probably what will happen , but we 'll try it this way and see ."
[41:17] fe008 | Yeah .
[41:19] mn014 | Yeah .
[41:21] fe016 | I mean it 's probably good enough for force - alignment .
[41:24] fe016 | then we def definitely
[41:25] mn014 | Yeah .
"[41:26] fe016 | uh , but for free recognition I 'm it 'll probably not be good enough . We 'll probably get lots of errors because of the cross - talk , and ,"
[41:31] mn014 | Yep .
[41:32] fe016 | noises and things .
[41:36] me013 | Good s I think that 's
"[41:39] me013 | probably our agenda , or starting up there ."
"[41:40] fe008 | Oh I wanted to ask one thing ,"
[41:41] me013 | Yeah ?
"[41:41] fe008 | the microphones the new microphones , when do we get , uh ?"
"[41:44] me011 | Uh , they said it would take about a week ."
"[41:46] fe008 | Oh , exciting ."
[41:46] fe008 | K .
[41:47] me013 | K .
[41:47] me018 | You ordered them already ?
[41:47] me011 | Mm - hmm .
[41:48] me018 | Great .
[41:49] fe016 | So what happens to our old microphones ?
[41:52] me013 | They go where old microphones go .
"[41:55] me011 | Well the only thing we 're gonna have extra ,"
"[41:58] me011 | for now ,"
"[42:00] me011 | Right , we don so the only thing we 'll have extra now is just the lapel ."
[42:00] fe016 | Right .
"[42:03] me011 | Not not the ,"
"[42:04] me011 | bodypack ,"
[42:05] me011 | just the lapel .
[42:05] fe016 | Just the lapel itself .
"[42:06] me011 | Um , and then one of the one of those ."
"[42:09] me011 | Since , what I decided to do , on Morgan 's suggestion , was just get two ,"
"[42:13] me011 | new microphones ,"
"[42:15] me011 | um , and try them out ."
[42:16] fe016 | Mm - hmm .
"[42:16] me011 | And then , if we like them we 'll get more ."
[42:18] fe016 | OK .
[42:19] me013 | Yeah .
"[42:19] me011 | Since they 're they 're like two hundred bucks a piece , we won't , uh ,"
[42:23] me011 | at least try them out .
[42:23] me018 | So it 's a replacement for this headset mike ?
[42:25] me011 | Yep .
[42:25] me011 | Yep .
[42:26] me013 | Yeah .
[42:27] me011 | And they 're gonna do the wiring for us .
"[42:29] me018 | What 's the , um , style of the headset ?"
"[42:31] me011 | It 's , um ,"
"[42:32] me011 | it 's by Crown , and it 's one of these sort of mount around the ear thingies ,"
"[42:36] me011 | and ,"
"[42:37] me011 | uh , when I s when I mentioned that we thought it was uncomfortable he said it was a common problem with the Sony ."
[42:42] me011 | And this is how apparently a lot of people are getting around it .
[42:45] me018 | Hmm .
"[42:45] me011 | And I checked on the web , and every site I went to ,"
[42:48] me011 | raved about this particular mike .
"[42:51] me011 | It 's apparently comfortable and stays on the head well , so we 'll see if it 's any good ."
"[42:54] me011 | But , uh ,"
[42:56] me011 | I think it 's promising .
[42:58] fe008 | You said it was used by aerobics instructors ?
[42:59] me011 | Yep .
[43:00] me001 | Hmm .
[43:00] fe008 | That says a lot .
[43:03] me013 | For the recor for the record Adam is not a paid employee or a consultant of Crown .
[43:06] me011 | Excuse me ?
[43:08] me011 | Excuse me ?
[43:08] fe016 | Right .
"[43:10] fe016 | However , he may be solicited after these meetings are distributed ."
[43:15] me011 | Well we 're using the Crown P Z Ms . These are Crown aren't they ?
[43:16] fe016 | Don't worry about finishing your dissertation .
[43:16] me013 | Yeah .
"[43:18] me011 | The P Z Ms are Crown , aren't they ?"
[43:18] me013 | Right .
[43:19] me013 | Yeah .
"[43:20] me011 | Yeah , I thought they were ."
[43:21] me013 | You bet . You bet .
[43:24] fe016 | Yes .
[43:25] me013 | So if we go to a workshop about all this this it 's gonna be a meeting about meetings about meetings .
"[43:36] me013 | Oh , yeah , what Which 'll be the meeting about the meeting about the meeting . Yeah ?"
[43:38] me011 | Cuz then it would be a meeting about the meeting about the meeting about meetings .
"[43:40] me013 | Just start saying "" M four "" . Yeah , OK ."
[43:43] me011 | M to the fourth .
[43:45] me013 | Should we do the digits ?
"[43:46] me011 | Yep , go for it ."
[43:47] me013 | OK .
[44:32] mn014 | S s
[48:12] me001 | Excuse me .
[48:17] me013 | OK .
[48:18] fe016 | Huh .
