[00:01] me013 | So .
"[05:25] me013 | Yeah , OK . So early next week we send it to them , and then then we check with them to see if they 've got it and we we start , you know"
[05:31] me011 | Yep .
[05:32] me013 | asking about the timing for it . So I think once they get
"[05:36] me013 | it sorted out about how they 're gonna do it , which I think they 're pretty well along on , cuz they were able to read the files and so on . Right ?"
[05:40] me011 | Yep .
"[05:43] me011 | Yeah , who knows where they are ."
[05:44] me018 | Have they ever responded to you ?
[05:45] me011 | Nope .
"[05:49] me011 | Yeah , you we can't complain ."
[05:50] fe016 | Yeah .
"[05:51] me013 | But at any rate , they 'll I I think"
"[05:53] me013 | once they get that sorted out , they 're they 're making cassettes there , then they 're handing it to someone who they who 's who"
"[06:00] me013 | is doing it , and uh"
[06:02] me013 | I think
"[06:04] me013 | it 's not going to be I don't think it 's going to be that much more of a deal for them to do thirty hours then to do one hour , I think . It 's not going to be thirty t"
[06:08] me011 | Yep . I think that 's probably true .
[06:09] fe016 | Really ?
[06:09] me013 | It 's it 's just getting it going .
"[06:12] me011 | It 's pipeline , pipeline issues . Once the pipeline fills ."
"[06:13] fe016 | Right . What about these lunch meetings I mean , I don't know , if there 's any way without too much more overhead , even if we don't ship it right away to IBM even if we just collect it here for awhile , to record"
"[06:24] fe016 | you know , two or three more meeting a week , just to have the data , even if they 're"
"[06:29] fe016 | um not doing the digits , but they do wear the headphones ?"
"[06:34] fe016 | No , I meant , um , sorry , the meetings where people eat their lunch"
"[06:42] me011 | Oh , and we 're just chatting ?"
"[06:49] me011 | Yeah , the problem with that is I would I think I would feel a little constrained to You know ?"
[06:55] fe016 | OK .
"[06:56] me011 | Uh , some of the meetings You know , our "" soccer ball "" meeting ? I guess none of you were there for our soccer ball meeting ."
[06:58] fe016 | Alright .
"[06:59] fe016 | Alright , so I 'll just throw it out there , if anyone knows of one more m or two more wee meetings per week that happen at ICSI , um"
[07:01] me011 | That was hilarious .
"[07:07] fe016 | that we could record , I think it would be worth it ."
"[07:11] me013 | because they were really intending ,"
"[07:13] me013 | you know , maybe just"
"[07:14] me013 | didn't happen , but they were really intending to be duplicating this"
[07:18] me013 | in some level . So then that would double what we had .
[07:18] fe016 | OK .
[07:20] fe016 | Right .
[07:21] me013 | Uh .
"[07:27] me013 | I mean really m a lot more than we have here right cuz we 're not right on campus , so ."
[07:29] me011 | Right .
"[07:31] me018 | Is the uh , notion of recording any of Chuck 's meetings dead in the water , or is that still a possibility ?"
"[07:35] me013 | Uh , they seem to have some problems with it . We can we can talk about that later ."
"[07:39] me013 | Um , but , again , Jerry is Jerry 's open So I mean , we have"
"[07:43] me013 | two speech meetings , one uh network meeting ,"
[07:47] me013 | uh Jerry was open to it but I I s
"[07:50] me013 | One of the things that I think is a little a little bit of a limitation , there is a think when the people are not involved uh in our work ,"
[07:56] me013 | we probably can't do it every week .
[08:04] me013 | are gonna feel a little bit constrained .
[08:09] me011 | Yep .
[08:14] fe016 | What if we
"[08:15] fe016 | give people you know , we cater a lunch in exchange for them having their meeting here or something ?"
"[08:19] fe008 | Well , you know , I I do think eating while you 're doing a meeting is going to be increasing the noise . But I had another question , which is um , you know , in principle ,"
"[08:22] fe016 | OK . Alright , alright , alright ."
"[08:26] fe008 | w um , I know that you don't want"
"[08:29] fe008 | artificial topics , but"
[08:31] fe008 | um
[08:32] fe008 | it does seem to me that we might be able to get subjects from campus to come down and
"[08:38] fe008 | do something that wouldn't be too artificial . I mean , we could political discussions , or or something or other , and"
"[08:42] fe016 | No , definitely ."
"[08:58] fe008 | a and it just seems like maybe we could exploit the subj human subject p p pool , in the positive sense of the word ."
"[09:04] me018 | Well , even I mean , coming down from campus is sort of a big thing , but what about"
[09:09] fe008 | We could pay subjects .
[09:10] me018 | or what about people in the in the building ?
"[09:12] fe016 | Yeah , I was thinking , there 's all these other peo Yeah ."
"[09:13] me018 | I mean , there 's the State of California"
[09:17] me011 | I just really doubt that uh any of the State of California meetings would be recordable and then releasable to the general public .
[09:21] fe008 | Yeah .
[09:22] me018 | Oh .
[09:23] fe016 | Mm - hmm .
[09:23] me011 | So I I mean I talked with some people at the Haas Business School who are i who are interested in speech recognition
"[09:24] fe016 | Alright , well ."
"[09:28] me011 | and , they sort of hummed and hawed and said "" well maybe we could have meetings down here "" , but then I got email from them that said "" no ,"
"[09:34] me011 | we decided we 're not really interested and we don't wanna come down and hold meetings . """
"[09:37] me011 | So , I think it 's gonna be a problem to get people regularly ."
"[09:42] me013 | But but we c But I think , you know , we get some scattered things from this and that . And I I d I do think that"
[09:50] fe016 | Mm - hmm .
[09:51] me018 | You could get a lot of lively discussions from those radio ones .
[09:53] me011 | Yep .
[09:54] me013 | Yeah .
[09:55] me013 | Yeah .
"[10:02] me013 | No , I 'm not talking about ones that are already recorded ."
[10:04] me013 | I 'm talking about new ones because because because we would be asking them to do something different .
[10:05] fe016 | Why why not ?
"[10:17] me013 | Right , that 's the found data idea . But what I 'm saying is uh if I talk to people that I know who do these th who produce these things we could ask them if they could record an extra channel ,"
[10:19] fe016 | Yeah .
"[10:27] me013 | let 's say , of a distant mike ."
[10:27] fe016 | Mm - hmm .
[10:29] me013 | And u I think routinely they would not do this .
"[10:33] me013 | So , since I 'm interested in the distant mike stuff , I wanna make sure that there is at least that somewhere"
[10:33] fe016 | Right . Great . OK .
[10:37] me013 | and uh But if we ask them to do that they might be intrigued enough by the idea that they
[10:42] me013 | uh might be e e willing to the I might be able to talk them into it .
[10:44] fe016 | Mm - hmm .
"[10:45] me011 | Um . We 're getting towards the end of our disk space , so we should think about trying to wrap up here ."
"[10:52] me011 | OK , leave leave them on for a moment until I turn this off , cuz that 's when it crashed last time ."
[10:56] fe008 | Oh .
[10:57] fe008 | That 's good to know .
[11:00] fe008 | That 's good to know .
[11:01] me013 | OK .
