[00:01] me013 | Hmm .
"[59:33] fe041 | OK . So I 'm just writing here ,"
[59:35] fe041 | we 're not gonna try to specify rules of interaction but we 're gonna try to get more variety by
[59:41] fe041 | i using different groups of people
"[59:49] fe008 | Fine . And I you know , I I know that the near f near - field mikes will take care of also the problems to s to a certain degree . I just wanted to be sure ."
[59:51] fe041 | e e
"[59:55] fe041 | And then the other thing might be , um ,"
"[59:59] fe041 | uh , technical"
[00:02] fe041 | versus administrative .
[00:06] fe041 | Cuz if I recorded some administrative meetings
"[00:09] fe041 | then that may have less overlap , because you might have more overlap when you 're doing something technical and disagreeing or whatever ."
[00:14] fe008 | Mm - hmm .
"[00:19] fe008 | eh , so I I know that in l in legal depositions people are pr are"
"[00:23] fe008 | prevented from overlapping . They 'll just say , you know you know , "" wait till each person is finished before you say something "" ."
[00:28] fe008 | So it is possible to lessen if we wanted to . But but these other factors are fine . I just wanted to raise the issue .
"[00:40] fe041 | uh ,"
[00:43] fe008 | Mm - hmm .
"[00:46] fe008 | Yeah , I think that 's always desired . I just want to be sure we don't that we 're able to process ,"
[00:49] fe008 | i u
"[00:49] fe008 | uh , you know , as much data as we can ."
[00:56] fe016 | Mm - hmm .
"[00:57] fe016 | And there was a big division , so"
[00:59] me013 | Yeah .
[01:05] me013 | Yeah .
"[01:07] fe016 | And and there 's lots of television , you know , stuff on , um ,"
"[01:11] fe016 | political debates and things like that , congre congressional hearings ."
[01:16] fe016 | Boring stuff like that .
"[01:18] fe016 | Um ,"
[01:19] fe016 | and then the CMU folks and I were sort of on the other side in cuz they had collected a lot of
[01:23] fe016 | meetings that were sort of like this and said that those are nothing like these meetings .
"[01:33] fe016 | that if there 's found data that can be transformed for use in speech recognition easily , then of course we would do it ,"
[01:40] fe016 | but newly collected data would would be natural meetings .
[01:45] fe016 | So .
"[01:49] fe016 | As far as I know , they h have not . Um , but e"
[01:51] me013 | OK .
"[01:53] me011 | it 's not near - far , right ?"
"[01:56] fe016 | I 'm not sure . Um ,"
"[01:59] fe016 | if people were interested they could talk to them , but I I got the feeling there was some politics involved ."
[02:04] fe016 | No .
[02:06] me013 | Just to check . Yeah . W we should know what 's out there certainly . Yeah .
[02:06] fe016 | I I don't know .
[02:07] me011 | Yeah .
"[02:08] me011 | Cuz I had thought they 'd only done far - field ,"
[02:11] me011 | intelligent - room sorts of things . I hadn't known that then they 'd done any more than that .
"[02:11] me025 | Oh , really ? It 's those guys ."
[02:15] me011 | Yeah .
"[02:17] fe016 | But they had multiple mikes and they did do recognition , and they did do real conversations ."
[02:22] fe016 | But as far as I know they didn't offer that data to the community at this meeting .
[02:25] me011 | Mm - hmm .
"[02:29] fe016 | you know , Mark 's really into this . We should keep in touch with him ."
[02:32] me013 | Yeah .
[02:38] fe041 | Is that an action item ?
"[02:45] me013 | uh ,"
[02:51] me011 | I think everyone here is on the list .
[02:53] me013 | Yeah .
[02:54] fe008 | u e e
[02:56] me011 | I think you are .
[02:59] me022 | Oh ! OK .
[02:59] fe008 | Yeah .
[03:00] me013 | We 're just compiling the list .
[03:02] me022 | I see .
[03:07] me025 | Who specifically ask not to be .
"[03:07] me011 | Like Jane , for example ."
[03:10] me013 | Yeah .
[03:12] me013 | Yeah .
"[03:29] fe016 | You know , the pe these people weren't wearing close - talking mikes ,"
"[03:32] fe016 | but they were recorded anyway , like the congressional hearings and , you know , for legal purposes or whatever ."
[03:35] fe008 | OK .
[03:36] fe008 | But it includes like standard corpora that have been used for years in linguistics and other fields .
"[03:40] fe016 | Mark 's aware of those , too . That would be found data because they found it and it exists . They didn't have to collect it ."
[03:41] fe008 | OK . Exactly .
[03:43] me011 | Hmm .
"[03:50] fe008 | Yeah . OK , OK . That 's interesting ."
"[03:52] fe016 | You know , Mark was really a fan"
"[03:54] fe016 | of getting as much data as possible from you know , reams and reams of stuff , of broadcast stuff , web stuff , TV stuff , radio stuff ."
[04:00] fe008 | Mm - hmm .
"[04:03] fe016 | But he well understands that that 's very different than these this type of meeting . But ,"
[04:03] me011 | It 's not the same .
[04:08] fe016 | so what ? It 's still it 's interesting for other reasons .
[04:10] fe008 | OK .
[04:11] fe008 | Yeah . Just wanted to know .
"[04:13] me013 | So , seems like we 're winding down . Right ?"
[04:17] fe041 | Mm - hmm .
[04:19] me025 | So we should go go around and s
[04:23] me025 | We should go around and say something interesting that happened at the meeting ?
"[04:26] fe041 | Oh . Yes , we should do that ."
[04:31] me013 | Oh ! Good man .
[04:32] fn043 | Hmm .
"[04:33] me011 | So , um ,"
"[04:34] me011 | I really liked the idea of what I thought was interesting was the combination of the CrossPad and the speech . Especially ,"
"[04:40] me011 | um , the interaction of them rather than just note - taking ."
"[04:43] me011 | So , can you determine the interesting points by who 's writing ?"
"[04:47] me011 | Can you do special gestures and so on that that have ,"
"[04:50] me011 | uh , special meaning to the corpora ? I really liked that ."
"[05:07] fe008 | and the and I and the fact that it 's sort of ,"
"[05:10] fe008 | uh , nebulous , what what that what kind of query it would be because it depends on what your purpose is . So I actually"
[05:19] fe008 | of trying to think of what that would involve to be interesting . But
"[05:22] fe008 | that 's not really a specific fact . I just sort of thought we we went around a nice discussion of the factors involved there , which I thought"
[05:29] fe008 | was worthwhile .
[05:30] me025 | I had a real revelation about taking pictures . I don't know why I didn't do this before and I regret it . So that was very interesting for me .
[05:36] fe008 | Mm - hmm .
[05:36] me011 | Did you take pictures of the boards ?
[05:37] fe008 | Yeah .
[05:42] fe008 | That 's a good point . Yeah .
[05:42] fe041 | They 're related to this morning 's meeting .
[05:44] me011 | To the pre previous meeting . That 's right .
"[05:46] me025 | OK . Well , that 's why I 'll take pictures of them , then ."
"[05:55] me022 | So . Um ,"
[05:57] me022 | so I 'm gonna pass for the moment but y come come back to me .
"[06:09] fe041 | uh , a spin on different slightly different spin on what you said , this issue of , uh , realizing that we could take"
"[06:15] fe041 | minutes , and that actually may be a goal . So that that may be kind of the test in a sense , test data ,"
"[06:23] fe041 | uh , the the template of what we want to test against , generating a summary . So that 's an interesting new twist on what we can do with this data ."
"[06:39] fn043 | it 's something that , as you said , is a whole research topic in itself , so I don't think we 'll be able to do anything on it because we don't have funding on it ,"
"[06:46] fn043 | uh , in this project . But , um ,"
[06:52] me011 | I wonder if work 's already been done on it .
[06:58] me013 | Hmm .
"[07:15] me013 | and not any of the facts . That is , I I really enjoyed"
[07:18] me013 | hanging out with this group of people today . So that 's what really impressed me .
"[07:29] me025 | Oh , yeah ."
"[07:31] me022 | Well , I mean , one thing you could search for is were people laughing a lot . Right ? So ."
[07:35] me025 | Right .
[07:36] me025 | How happy were they ?
[07:45] me013 | Yeah . Yeah .
[07:47] me025 | That 's great .
[07:49] me011 | So we need a laugh detector .
[07:50] me025 | Yeah .
[07:51] fe041 | Mm - hmm .
[07:51] me025 | Perfect .
[07:52] me011 | Cuz that seems to be pretty common .
[07:57] me011 | Not in the congressional hearings .
[08:02] me013 | So I think we 're done .
[08:03] me025 | OK . Great .
[08:03] fe041 | OK .
[08:03] me011 | I think we 're done .
[08:03] me022 | OK .
[08:04] fe008 | @ @
[08:04] fe041 | Great .
[08:04] me013 | Great .
[08:09] me025 | No . Just just leave it .
[08:11] me013 | Now these we turn off .
[08:13] me013 | Right ?
[08:17] me011 | Now they even have working L E Ds .
"[08:19] fe008 | Oh ! Hey , that 's cool ."
[08:20] me013 | Do they ?
[08:21] me011 | Yeah . Absolutely .
[08:23] fe016 | Huh .
[08:23] fe008 | That 'd be nice . OK .
[08:24] me025 | @ @ knows .
"[08:24] me011 | You don't think John uh , Jim would make"
[08:26] me011 | a box that didn't have a
"[08:27] me011 | flashing light on it , do you ?"
