[00:05] fe004 | Time .
[00:32] fe004 | Yeah . That 's doesn't make it a great term . It 's just like those jokes where you have to work on both levels . Do you see what I mean ? Like
[00:34] mn015 | ye no but i but if you if you if you work in th in that XML community it is a great acronym because it e evokes
[00:40] fe004 | Oh .
"[00:42] mn015 | whatever RDF RDF is the biggest thing right ? That 's the rich sort of "" Resource Description Framework """
"[00:46] me045 | Oh "" rich de """
[00:48] fe004 | Oh .
"[00:50] mn015 | and um and also So , description , having the word d term "" description "" in there is wonderful ,"
[00:55] fe004 | Mm - hmm .
[01:00] me045 | Everybody likes action .
[01:00] fe004 | Oh .
[01:01] fe004 | Yeah . OK .
[01:01] me003 | Yeah .
[01:03] fe004 | But what if it 's not an action ?
[01:05] fe046 | Yeah all the kids 'll love it .
"[01:06] fe004 | And intentions will be "" RID "" ?"
[01:13] fe004 | Um are the are the sample data that you guys showed sometime ago like the
"[01:17] fe004 | things maybe maybe you 're gonna run a trial tomorrow . I mean , I 'm just wondering whether the ac some the actual sentences from this domain will be available . Cuz"
[01:23] fe004 | it 'd be nice for me to like look if I 'm thinking about examples
[01:26] fe004 | I 'm mostly looking at child language which you know
[01:28] fe004 | will have some overlap but not total with
[01:32] mn015 | Mm - hmm .
[01:32] fe004 | here before and maybe you 've posted it before but
[01:34] fe004 | where would I look if I want to see ?
[01:37] mn015 | Oh I You want audio ? or do you want transcript ?
[01:37] fe004 | You know .
[01:39] fe004 | No just just transcript .
"[01:41] mn015 | Yeah , well just transcript is just not available because nobody has transcribed it yet ."
[01:43] fe004 | Sorry .
"[01:45] fe004 | Oh , OK ."
[01:45] mn015 | Um I can e I can uh I 'll transcribe it though . It 's no problem .
"[01:49] fe004 | OK , well don't don't make it a high priority I In fact if you just tell me like"
[01:51] mn015 | Yeah .
"[01:53] fe004 | you know like two examples I mean , y"
[01:54] mn015 | Mm - hmm .
"[01:55] fe004 | The the the representational problems are I 'm sure , will be there , like enough for me to think about . So ."
[01:57] mn015 | OK .
"[02:02] mn015 | OK , so Friday , whoever wants and comes , and can ."
[02:05] fe004 | OK .
[02:05] me045 | OK .
[02:06] fe004 | Here . OK .
[02:07] mn015 | This Friday .
[02:09] mn015 | The big parser show .
