[00:03] mn035 | @ @
"[56:44] mn082 | mapping of Multicast , I think , must be of major interest for them . Right ?"
[56:49] mn021 | One question .
"[56:49] mn081 | Yes , but if if it 's available"
[56:52] mn081 | that means so so if uh
[56:54] mn081 | if it 's already part of the UMTS standardization
"[56:58] mn081 | then uh it 's immediately finished , like ,"
"[57:00] mn081 | OK , you can tell , KPN well go to Ericsson or Nokia and buy it ?"
[57:05] mn081 | And if it 's not in there yet
"[57:07] mn081 | well , it could be a suggestion and"
[57:10] mn081 | then the hardware people will
[57:12] mn081 | make it part u like the ETSI or whatever where U wherever UMTS is standardized
"[57:18] mn081 | they will d well ,"
[57:20] mn081 | go for it .
[57:21] mn082 | Mm - hmm .
"[57:21] mn081 | Of course , yeah , this this group could do that , too ."
[57:26] mn021 | I have a an important doubt about
[57:29] mn021 | the IP availability over UMTS .
[57:34] mn021 | you know that
[57:35] mn021 | the carriers and some manufacturers
[57:37] mn021 | have done an important effort
[57:39] mn021 | in developing
[57:40] mn021 | this web thing
[57:42] mn021 | and uh
[57:44] mn021 | I 'm not sure
[57:45] mn021 | what they plan to do with next
[57:50] mn021 | are they holding the same web technology ?
[57:57] mn021 | and forgetting about the thing ?
[57:59] mn021 | I I don't know what will happen .
"[58:01] mn021 | uh , I I don't have a clue . Probably ,"
[58:04] mn021 | if after
[58:05] mn021 | searching a little bit on the on the net
"[58:07] mn021 | I can get the answer , but"
[58:09] mn021 | initially
[58:11] mn021 | this is something to to to have in mind . I mean .
[58:14] mn021 | Because maybe
[58:16] mn021 | this UMTS thing will appear
[58:19] mn021 | on the market without IP as a native protocol .
[58:23] mn021 | And
[58:23] mn021 | if this is the case
"[58:25] mn021 | well , thus seamless integration could be"
[58:28] mn021 | we
[58:28] mn021 | strongly affected .
"[58:29] mn021 | At least , uh , if you we want to use U M T S ."
[58:35] mn021 | I 'm I 'm just uh
[58:37] mn021 | throwing the question .
"[58:38] mn021 | uh I mean ,"
[58:40] mn021 | looking for an answer because I don't know if uh some of you have
[58:45] mn021 | what
[58:46] mn021 | carriers are planning to do about this .
"[58:51] mn081 | I 'm not really sure ,"
[58:53] mn081 | but I thought I I had the impression that we can
[59:03] mn081 | let alone UMTS .
"[59:07] mn082 | Now , WAP is ja not only related now to available bandwidth . That 's not the only thing . It 's only the adaptation towards the"
[59:08] mn081 | That 's the impression I get .
[59:13] mn082 | capabilities of the end device .
[59:17] mn082 | Right ?
"[59:17] mn081 | Yeah , definitely ."
[59:18] mn082 | So .
[59:19] mn081 | But but still a le d it 's a it 's a fundamental
[59:22] mn082 | Huh .
[59:23] mn082 | Yeah .
[59:27] mn081 | the terminal has a WAP stick .
[59:30] mn081 | And there 's a box that has also a a WAP stick .
[59:32] mn082 | So yeah .
"[59:33] mn081 | And they do sometime most cases , they do share an IP address ."
[59:38] mn081 | But doesn't uh have to deal with IP at all . It 's l just a thirty - bit number
[59:41] mn021 | Mm - hmm .
[59:43] mn081 | that a actually is an assigned number .
[59:45] mn081 | But it 's all only used for identification .
[59:47] mn081 | That 's the only thing .
"[59:48] mn081 | It 's stored in a WAP cookie ,"
[59:50] mn081 | much like HTP
[59:52] mn081 | in a cookie and from the WAP gateway
[59:54] mn081 | then it will be HTP real HTP or something .
[59:58] mn081 | So it 's it 's really a different uh type of connection .
"[00:03] mn081 | It looks a little bit like uh the the well ,"
[00:09] mn081 | It 's not IP at all .
[00:11] mn082 | Right .
"[00:11] mn081 | Because there is a gateway , you can access with"
"[00:14] mn081 | almost the same microbrowser ,"
[00:16] mn081 | the same i uh web servers .
"[00:20] mn081 | If they provide the right content uh , spit out the right"
[00:24] mn081 | uh WML language .
[00:26] mn081 | So it 's it 's really a different network technology I think .
[00:30] mn082 | Yeah .
"[00:34] mn082 | Anyway , you have the gateway ."
[00:37] mn081 | Yeah .
[00:37] mn082 | The ca uh c uh t conversion of the media
"[00:41] mn082 | @ @ of the contents , in principle ."
"[00:46] mn082 | It 's too late , I believe ."
"[00:47] mn082 | If WAP was available in the beginning of GSM ,"
[00:50] mn021 | Mm - hmm .
[00:51] mn082 | then I think it was there would be a good chance that it is
"[00:54] mn082 | well - deployed . But now , the first generation of"
[00:56] mn081 | I i
[00:56] mn082 | web - browsers are in the ha
"[00:57] mn082 | and and uh I would say "" handies "" , so that 's wrong in the mobile phones ,"
[01:02] mn082 | but
[01:02] mn082 | the the next generation of networks are still available .
[01:05] mn082 | and the ba uh the bandwidth constraints are no more
[01:09] mn082 | applicable ?
"[01:09] mn081 | Ri - right now there is still a lot of WAP , actually ."
[01:13] mn021 | Mm - hmm .
"[01:13] mn082 | Yeah , but The hype but"
[01:15] mn082 | uh
"[01:15] mn081 | Well , users usage ."
[01:16] mn082 | I never saw a user using WAP .
"[01:18] mn082 | Please raise your hand , who is using WAP ."
"[01:20] mn081 | My colleagues are . Yeah . Yeah , they are using WAP ."
[01:21] mn082 | Yeah ?
[01:22] mn082 | Yeah ?
"[01:24] mn082 | OK , one of six ."
[01:25] mn082 | So .
[01:28] mn081 | Yeah .
[01:29] mn081 | i
"[01:30] mn081 | Bu - well , you don't have a mobile phone in in the USA here ."
[01:34] mn021 | No . No .
[01:35] mn081 | So that 's maybe the reason . And I 'm not I doubt that it 's not available in Germany . It 's would be unbelievable to me .
[01:35] mn021 | Not me .
"[01:42] mn082 | Now , do you yeah , do you see the chance for WAP ?"
[01:44] mn082 | I don't see it .
[01:45] mn081 | It i it is . In in in Sweden it is also there .
"[01:48] mn081 | And in the Netherlands , it is also available ."
"[01:50] mn021 | In Spain it 's available but uh you know ,"
[01:53] mn021 | uh
[01:54] mn021 | my main complaint has been all the time
[01:57] mn021 | that it is difficult to me to believe
[02:00] mn021 | that I can do interesting work with a 4 lines display .
[02:06] mn081 | Oh .
"[02:11] mn081 | I 'm the first one to admit that 's a h that it is a hype ,"
[02:15] mn081 | but and but I 'm I just wanted to say it is being used .
"[02:19] mn081 | But if it makes sense to me and to especially to have WAP in in between ,"
[02:25] mn081 | no . I 'm not a supporter of it .
[02:27] mn021 | Huh - huh - huh .
"[02:27] mn081 | So they have this optimized protocol to to transmit a few ASCII bytes that can rescr refresh the screen with a different animation every , well , second , a few times ."
[02:40] mn082 | Yeah .
"[02:40] mn081 | So , that 's that 's true . I immediately agree ."
"[02:43] mn081 | But the thing was , y you just asked well , "" will will it be the same , will there be WAP for UMTS "" and so on , QPRS . And well I don't have the answer , but I thought it was not ."
[02:55] mn081 | I 'm just It 's weird it 's weird to stop doing it with GPRS .
[02:55] mn035 | Yeah .
[03:00] mn021 | Hmm - hmm - hmm .
[03:05] mn035 | is so general that it can be used with UMTS .
[03:08] mn035 | So if you still want to use
[03:10] mn035 | WAP
[03:11] mn035 | with UMTS you might be able to do it .
[03:14] mn035 | But
[03:14] mn081 | Yes .
"[03:17] mn081 | if you want to do it in a in a mobile phone want to implement it , as a light stack or something . Yes ?"
[03:18] mn082 | Yeah .
[03:19] mn082 | Yeah .
[03:22] mn082 | Yep .
[03:24] mn081 | Sure .
[03:24] mn035 | But usually that 's not the reason to have UMTS .
[03:33] mn035 | Yep .
[03:34] mn082 | Mm - hmm .
[03:39] mn082 | Mm - hmm .
"[03:40] mn082 | So maybe I would like to ask Claudia , you read the proposal in the meantime ?"
[03:40] mn081 | Hmm .
"[03:44] fn083 | Yeah , but the task changed really a lot , so , I 'd I rather would like to"
[03:44] mn082 | Yeah .
"[03:46] mn082 | Yes , that 's right ."
[03:48] mn082 | And do you have some comments on it
"[03:50] mn082 | from the next this is version zero dot five right , yeah ."
"[03:54] fn083 | Yeah , but I 'd rather like to follow the discussion"
"[03:57] fn083 | before I gave any comments , cuz it 's really"
"[04:00] fn083 | The first point is it 's much more than it was before I left , so it 's like five weeks in between , so it 's like that whew ! that big now ."
[04:07] mn082 | That 's right . Yeah .
"[04:07] fn083 | And it really changed a lot cuz the I mean I found the classroom inside but , the thing where I left the discussion was that we are talking about uh"
[04:17] fn083 | a classroom where you know everybody could look on with any kind of device and follow lectures or do exercise or whatever . So .
"[04:34] fn083 | narrow than before so I 'd rather like to to follow it a bit , and then to get more into the ideas ."
[04:37] mn081 | So -
[04:42] mn082 | OK .
"[04:42] mn081 | c Can I do another one , like"
[04:45] mn081 | UMTS or wireless u i generally are will be m more expensive .
[04:52] mn081 | And especially UMTS . If they want to get back the money .
[05:02] mn081 | but at least the different application of protocol - based usage .
"[05:07] mn081 | So you have uh one connection , one application uses FTP whatever ,"
[05:14] mn081 | That those type of application you m may might want to make more out of a megabit per second or something .
[05:23] mn082 | Also we want to go more in the triple - A
[05:25] mn082 | area .
[05:26] mn082 | Right ? Because billing alone
[05:27] mn081 | Or is n
"[05:29] mn082 | Or or ac um Billing is related to accounting , Accounting is related to Authentification and Authorization ."
[05:31] mn081 | e
"[05:32] mn081 | Yeah , that 's true ."
[05:36] mn082 | So . And then you are still at the triple - A service
"[05:39] mn081 | Yeah ,"
[05:40] mn081 | that 's right .
[05:41] mn082 | uh activity
[05:46] mn082 | has the skills to deal with that .
[05:48] mn082 | And then we are leaving our scope anyway .
[05:49] mn081 | OK .
[05:53] mn035 | My impression on this
[05:55] mn035 | proposal is that
"[05:58] mn035 | every single block has some research done already . So , multicast ."
[06:05] mn035 | This means that there are many things done .
"[06:08] mn035 | Oh , what was it ? Maybe I was routing mobility management"
[06:13] mn035 | But no one actually put them together .
[06:16] mn035 | But So that 's the big problem . But
"[06:18] mn035 | the problem with this problem , might be that it 's too big"
[06:22] mn035 | to put all these big pieces to
"[06:23] fn083 | What do you mean by "" put together "" ?"
"[06:25] mn082 | As it What I mean , the synergy effect , right ? From from Yeah ."
[06:27] mn035 | a complete scenario .
"[06:28] mn035 | You have ,"
[06:28] mn082 | Yeah .
[06:29] fn083 | Ah .
"[06:29] mn035 | in one scenario , multicast , quality of service , routing and mobile um networking ."
[06:37] fn083 | Mm - hmm .
[06:38] mn035 | Not just the islands alone .
"[06:38] fn083 | So why I wasn't ,"
"[06:40] fn083 | well , yeah , uh hold myself back a bit with comments , is"
"[06:44] fn083 | uh cuz when I left the discussion , the discussion was what to to have something like a big umbrella about everybody who was at this point , here ."
[06:55] fn083 | And so the discussion was much broader than it is maybe right now . And there I had the impression the umbrella was this kind of classroom thing . Right ? Or wrong ?
"[07:07] mn082 | Yeah , in principle , it is related to the current state . But the networking stuff is more explained in much more detail"
"[07:11] fn083 | Yeah , yeah , yeah . It is . Of course ."
[07:14] mn082 | and the work packages are
[07:16] mn082 | better ident
[07:17] mn082 | oder what c
[07:18] mn082 | could be derived for work packages is much better aligned .
"[07:20] fn083 | Yeah , yeah , yeah . That 's that 's clear ."
"[07:21] mn082 | But that has not changed , yeah ?"
[07:22] fn083 | But -
"[07:23] fn083 | Yeah , that 's that 's clear , but then I don't get because when we were discussion discussing this uh stuff weeks ago ,"
"[07:31] fn083 | uh I had the impression that ,"
"[07:33] fn083 | you know , everything of these work packages uh fit together under this one big umbrella ."
[07:40] fn083 | And now it sounds different . So that 's what I don't understand .
"[07:46] fn083 | Ah but , it 's also because I missed the last four weeks . So ."
"[07:52] fn083 | It 's a a bit hard for me to follow the development what happened in the last four weeks , why it changed so ."
[07:55] mn082 | Yeah OK maybe one sentence one sentence . If you 're focussing on the argument chain as follows . I have an application .
[08:04] mn082 | This application has certain kind of requirements .
"[08:07] mn082 | These requirements are ,"
"[08:08] mn082 | maybe , Multicast and and and quality of service and mobility"
[08:17] mn082 | That is it . I want to focus on it .
[08:19] mn082 | Then you have in mind that Or you must have in mind
[08:23] mn082 | that all other applications and all other networking stuff
[08:26] mn082 | is not affected by this .
"[08:28] mn082 | That you can use it with every application and if you introduce some new mechanism in the network ,"
"[08:33] mn082 | that is not related only to interactive multimedia applications like the classroom ,"
"[08:38] mn082 | it must be fit end to end . And if you assume something , like we discussed it ,"
"[08:42] mn082 | very hard with with Multicast ,"
[08:44] mn082 | that you assume that Multicast will be available
[08:54] mn082 | all throughout of the internet .
"[08:56] mn082 | Otherwise it makes no sense ,"
[08:57] mn082 | and we
"[08:58] mn082 | come to the conclusion , "" OK ,"
"[09:00] mn082 | uh Multicast , we must deal with both approaches "" ,"
[09:03] mn082 | that you have eh application layer Multicast as well as maybe
[09:07] mn082 | some other Multicast and maybe
[09:09] mn082 | really Multicast @ @
[09:11] mn082 | and then the point is how to select these mechanism if you want to have
[09:14] mn082 | not a certain kind of
[09:16] mn082 | access to the
[09:17] mn082 | server
[09:19] mn082 | elsewhere in the network
[09:21] mn082 | you want to use any application .
"[09:27] fn083 | So Cuz what 's difficult for me is what is meant by "" application "" ? So . Cuz I have sometimes the impression that everybody is defining "" application "" in different way . So , what exactly is mean by "" application "" ?"
"[09:40] mn082 | The application , for instance , here ,"
[09:42] mn082 | that eh the
[09:44] mn082 | interactive classroom .
[09:45] mn082 | But elsewhere any application in in in any kind of
[09:45] fn083 | Yeah .
[09:51] mn082 | game server what - whatever kind of interactive multimedia
[09:55] mn082 | especially do uh downstreaming applications maybe eh video on demand
"[09:59] mn082 | then , eh"
[10:00] mn082 | whatever kind of application you can consider .
"[10:02] fn083 | So what has changed is that we 're not only focussing on this intelligent classroom , but on everything ."
[10:09] mn082 | Not on everything .
[10:11] mn082 | That 's not true .
[10:12] mn082 | But we s
[10:13] mn082 | That 's why we say
"[10:14] mn082 | here ,"
[10:15] mn082 | that we have a certain kind of eh possibility to change in the access networks .
[10:21] fn083 | Mm - hmm .
"[10:22] mn082 | That means the wireless networks because that provides , in principle , the mobility ."
[10:27] mn082 | And these mechan
[10:27] mn082 | And you see that there 's a trend to provide IP functionality more and more in these kind of networks .
[10:33] mn082 | But the problem is that you could not focus on this kind of um technology only for the access network . You have to have in mind always the end to end scope .
"[10:43] mn082 | And if you see , for instance We have routing algorithm but different protocols and whatever kinds of things , u especially also for Multicast ,"
"[10:52] mn082 | different things really for different providers , and uh and it 's uh very easy to change it , maybe in the access network , for novel things ."
"[11:02] mn082 | For instance , that 's one provider domain and you can say well why not use active routing in that provider domain ?"
[11:07] mn082 | So it means that
[11:13] mn082 | It 's impossible
"[11:15] mn082 | to deal with that in the whole internet ,"
[11:17] mn082 | because security reasons and whatever kinds of things make it impossible . So how to combine these
"[11:23] mn082 | pos uh potential um extensions in the um access networks ,"
[11:30] mn082 | and without losing the end to end scope in the internet .
"[11:35] mn082 | Then you can have certain n novel features give the providers like KPN or whatever ,"
"[11:41] mn082 | the po the potential , in principle , to to uh"
"[11:53] mn082 | There will be a fifth generation , I 'm sure ."
"[12:00] mn082 | uh uh full I P , end to end ."
"[12:07] mn082 | because u you are accessing a certain kind of server node in the internet , using any application ."
[12:13] mn082 | And then this mechanism must fit it there .
"[12:15] mn082 | But nevertheless eh internet backbone is in the meantime , based on its success ,"
[12:19] mn082 | impossible to change .
"[12:21] mn082 | You see the difficulties with IP version six , eh eh you see the difficulties with Multicast ."
"[12:26] mn082 | They are discussed since , you know , ten years or whatever ."
[12:29] mn082 | The specification are rather stable and and available but we have only islands in that . We cannot assume that everything is end to end available .
[12:38] mn082 | And so you have to mi to have to have in mind
"[12:44] mn082 | at a certain stage end to end available , maybe we have a lucky that the islands are connected to each other or the same applies for MPLS , for instance ,"
"[12:52] mn082 | maybe they are only portions available ,"
"[13:00] mn082 | But you have to select it because I have a mobile phone , a mobile node or whatever kind of device , and I want to contact a certain kind of content in the internet ."
[13:09] mn082 | So is it possible to d have certain kind of normal features in the access network without losing the end to end scope of with these difficulties we are dealing with .
[13:18] mn082 | I always say that the success of internet make it unflexible .
[13:22] mn082 | It 's impossible to change something very easy .
[13:25] mn082 | s
[13:29] mn082 | So that is eh overall picture
[13:31] mn082 | that we have in mind with these things .
[13:33] mn082 | And we can not u
[13:35] mn082 | We we are six people
[13:36] mn082 | or seven or whatever
"[13:38] mn082 | if Hannes come ,"
[13:38] mn082 | We are not able to solve the problems
[13:41] mn082 | uh in in uh w in the few years or whatever
[13:45] mn082 | what the whole internet community has um
[13:49] mn082 | done in in si since uh since a decade .
[13:52] mn082 | But we can f pick up
[13:54] mn082 | some f some um potential and and and to start with something .
[14:00] mn082 | And that 's my missing point . That we
"[14:02] mn082 | have here , in principle , really the description of this problem I mentioned"
[14:06] mn082 | and focus really on the reasonable size of the project
"[14:10] mn082 | maybe in the first stage fo for the NSA core itself ,"
"[14:14] mn082 | and maybe possible extension from , for instance , if KPN say "" yes , that 's great , """
[14:25] mn082 | mmm University of Berlin or something and maybe University of Mannheim or Duisburg or in Spain oder whatever .
[14:31] mn082 | So if we have all the similar project
"[14:33] mn082 | then you have only to take care about that 's a little bit aligned ,"
[14:36] mn082 | that there 's some transparency concerning the results and
[14:39] mn082 | and the activities are literally going in the in the same um pace .
[14:46] mn082 | So that 's the basic idea .
[14:48] mn082 | But really it 's to to figure out certain kind of smaller activities where we can start it .
"[14:53] mn082 | That 's the point . And if we get some funding back ,"
"[14:56] mn082 | and we have certain potent uh potential partners in the boat ,"
"[15:00] mn082 | OK , we can go to a broader scope of this whole thing , yeah ."
[15:01] mn021 | u
[15:04] mn021 | a a reasoning way .
"[15:07] mn021 | Uh let 's assume that we are successful with this proposal ,"
[15:11] mn021 | so we get the funding
[15:13] mn021 | to do
[15:14] mn021 | whatever what we want to do .
"[15:16] mn021 | So my question is , what we want to do is ?"
[15:20] mn021 | Let 's assume that we have the funding .
[15:22] mn021 | What will be our first and or or and second steps ?
"[15:30] mn021 | eh we will buy , what kind of things we will eh program or we will deploy ?"
[15:43] mn021 | know much better what the application we want .
"[15:49] mn082 | Yeah , but the problem is that f f f funding is the second step ."
"[15:54] mn081 | Well , I 'm not sure ."
[15:55] mn081 | I I th I think I agree with him .
[15:57] mn081 | But uh right now
[15:58] mn082 | Yeah .
[15:59] mn081 | we 're looking at b a th
[16:01] mn081 | You want to do a big thing instead of a great thing .
[16:04] mn081 | So if you
[16:05] mn081 | d
[16:10] mn081 | then it starts to get big we should all go to the in the same direction .
"[16:14] mn081 | If you already assume "" well , OK , they paid money "" ,"
"[16:17] mn081 | and now you think , OK , what what great thing you want to do ,"
[16:21] mn081 | then it gives you more freedom to think about this great thing you want to m do .
"[16:27] mn082 | Yeah , but we have no eh current no public funding ,"
"[16:32] mn081 | No . But you but you don't get one if you if you try to to align KPN with Siemens , for instance ."
"[16:32] mn082 | OK , everybody 's paid here ."
[16:32] mn021 | Yeah .
[16:32] fn083 | Yeah .
[16:33] mn082 | Yeah .
[16:34] mn082 | Yeah .
"[16:37] mn035 | But for theoretical or for historical reasons a really good question , "" if we would have the money what would we do with that ? """
[16:38] mn081 | Uh .
"[16:45] mn035 | So if we don't know what we would like to do with the money ,"
[16:48] mn082 | Mm - hmm .
[16:49] mn035 | we probably wouldn't get any money to do what we don't know .
[16:52] mn082 | That 's right . That 's right . Yeah . Yeah .
[16:52] mn021 | Absolutely .
"[16:54] mn035 | So that 's why , I think ,"
[16:55] mn082 | Yeah .
"[16:56] mn035 | yeah ,"
[16:56] mn035 | it 's a good question .
[16:59] mn035 | Yep .
"[17:00] mn082 | Yeah . I want to have really the activities you know ,"
[17:03] mn082 | what is really the outcome what is really the problem we are going to solve .
[17:07] mn082 | These are my questions .
[17:08] mn082 | And if we have identified this block
[17:11] mn082 | then it is possible to raise some money .
[17:13] mn082 | Yeah .
[17:15] mn035 | That 's just the same question just other way around .
"[17:24] mn021 | This is a PDA eh three com uh Palm Pilot compatible , nothing nothing that great , but it has some some possibility of being expanded ."
[17:37] mn021 | in here The only thing wireless thing I can put on on this
"[17:40] mn021 | is just uh this Omnisky modem ,"
"[17:44] mn021 | which is uh , I think it is a subscription - based uh thing ."
"[17:48] mn021 | You have to pay every every month ,"
"[17:51] mn021 | and eh of course ,"
"[17:53] mn021 | I cannot imagine that uh tomorrow I 'll be able to buy a different thing with four different networks , four different providers on it ."
[18:03] mn021 | Maybe I 'm wrong but
"[18:05] mn021 | if I have the funding I say "" OK , well , I can buy this or even I can buy a mobile computer ,"
"[18:10] mn021 | a notebook "" ."
[18:11] mn021 | OK ?
"[18:12] mn021 | A lot more expensive , but that 's OK , I have the funding"
"[18:15] mn021 | Then I can add a couple of cards at most ,"
[18:18] mn021 | because mmm the majority of the of the notebooks only have two PC cards uh type two slots . So
"[18:27] mn021 | In in the better case , maybe I 'm only able to add two different networks to this thing ."
[18:34] mn021 | So ah
[18:38] mn021 | ah if we are if you want to think in in two three four different technologies
"[18:45] mn021 | um , maybe we are uh too advanced too , um , let 's say , uh too in advance for the current technology ."
"[18:55] mn021 | Which is not bad , but"
"[18:56] mn021 | uh , I 'm just saying that it will be"
[18:59] mn021 | able It will Sorry . It will be difficult for us
[19:02] mn021 | to develop a a reasonable test bed with the available technology .
"[19:06] mn021 | If somebody tell us , "" OK , now here you have the thing , and just put these four networks you want on the thing . "" How can I do it now ?"
[19:16] mn021 | So mmm
"[19:22] mn021 | you know , to get used to the uh all the ideas and to see that all the things are really connecting because this the eh most difficult thing I see to to to get this alignment to this connection point among the different things we are trying to align ."
[19:40] mn021 | So that 's why I was proposing this this question .
[19:43] mn021 | Let 's assume we have the funding .
"[19:45] mn021 | Now let 's proceed . What what kind of things we can buy , we can put together , we can program ."
[19:51] mn021 | Because oh at the end uh
[19:59] mn021 | So .
[20:01] mn082 | It 's clear .
"[20:09] mn082 | Now from my point of view in the beginning ,"
"[20:12] mn082 | one more time , if I see the four building blocks ,"
"[20:16] mn082 | and eh I could speak only for my skills ,"
[20:19] mn082 | I believe to derive a certain kind of QS Reservation - in - Advance scheme
[20:24] mn021 | Mm - hmm .
[20:26] mn082 | Much more uh general
"[20:31] mn082 | as it is done for for USAIA , but"
[20:34] mn082 | mapped then really to desired network
[20:37] mn082 | subnet layer technologies .
[20:39] mn021 | But for different networks ?
[20:39] mn082 | @ @
[20:41] mn082 | Yes .
"[20:44] mn082 | But first of all , a generic system , but because you can have several mechanism"
[20:49] mn082 | really using certain kind of of um
"[20:52] mn082 | um quantitative description ,"
"[20:55] mn082 | you can have more of a qualitative description ,"
"[20:59] mn082 | you can have taken into account moving patterns ,"
"[21:03] mn082 | whatever kind of things , but there are a lot of lot of ways to have certain kind of QS Reservation - in - Advance , and I see it as definitely is necessary to have this one"
[21:11] mn082 | if I want be mobile and I want to have not a interruption of my in my application qualities of service . So .
[21:13] mn021 | Hmm - hmm - hmm .
[21:18] mn082 | Um
"[21:18] mn082 | But then , to go , for instance , to UMTS ,"
[21:22] mn082 | and figure out what is available within UMTS .
"[21:25] mn082 | And if I really have an IP application ,"
[21:28] mn082 | where I need this kind of of quality of service and having in mind that certain kind of QS will be available in the rest of the internet .
[21:36] mn082 | So how can I map these things uh to the UMTS stuff ?
[21:39] mn082 | And what is the trend towards UMTS to the first generation ?
[21:43] mn082 | And how it is possible to map this one to this technology ?
[21:47] mn082 | And if you have the building blocks
"[21:49] mn082 | identified ,"
"[21:50] mn082 | what is really necessary for QS eh QS - in - Advance for for mobile systems ,"
"[21:57] mn082 | then you have , in principle , the ideas for the following generation what you could improve ."
[22:01] mn021 | Hmm - hmm .
[22:03] mn082 | maybe no more related to this kind of thing .
[22:05] mn082 | I believe the same applies for Multicast .
[22:08] mn082 | And I believe the same applies for routing .
"[22:11] mn082 | So , in principle , in the beginning , there would be a certain kind of uh paperwork anyway ,"
"[22:17] mn082 | some theoretical examination of these problems ,"
[22:21] mn021 | I think so
[22:21] mn082 | and then some prototypes
[22:25] mn082 | must be derived from that . And then maybe we will start here with a certain kind of uh testbed equipment we still have here . We have four
"[22:34] mn082 | uh P Cs available . Maybe we have to extend it then ,"
"[22:37] mn082 | and figure out some real scenarios ,"
[22:40] mn021 | Oh yeah .
"[22:40] mn082 | Because uh , despite the fa"
"[22:42] mn082 | uh uh Hopefully , then we have"
[22:42] mn021 | W
"[22:43] mn082 | with the money also not eh only for the room , that would be great , but"
[22:47] mn082 | there are also some sponsors then then
[22:49] mn082 | then we add a certain kind of field trial .
"[22:53] mn082 | that 's years , you know ."
[22:54] mn082 | That 's years .
[22:55] mn021 | That 's right .
[22:56] mn082 | But in the beginning we must have a certain kind of theoretical framework
[23:02] mn082 | with the relevant
[23:04] mn082 | technology .
"[23:06] mn082 | Real technology . Maybe you can start with GPS or or UMTS , or whatever ."
[23:10] mn082 | because these technology will definitely available in Europe .
"[23:14] mn082 | There 's some money spent on it , so that it will be in a certain kind of flavor ."
[23:19] mn082 | It will be available .
[23:19] mn021 | Hmm - hmm - hmm .
[23:20] mn082 | And it will be also available in the USA .
"[23:24] mn082 | Because there is a big eh harmonization effort ,"
"[23:27] mn082 | despite the fact they are not aligned to each other anyway , but they will have s also certain kind of thr third generation and fourth generation networks ."
"[23:36] mn082 | So . And after this theoretical framework , if this one is aligned , OK you have some specification and you set up some Linux or Free BSD or whatever kind of prototype ."
[23:45] mn082 | So that is what I have in mind with that .
"[23:50] mn082 | OK , and then you will see ."
[23:51] mn021 | Hmm - hmm .
[23:55] mn082 | The problem is which I see is that it could be
[23:59] mn082 | fruitful to standardization
[24:01] mn082 | that it could be fruitful to some extent to telecommunication providers .
[24:10] mn082 | But there 's not a real product like you say .
[24:15] mn082 | There 's not the selling idea behind it .
[24:16] mn021 | Hmm - hmm - hmm .
"[24:17] mn082 | Yeah , if you go with something what what Wilbert mentioned "" OK , let 's have this one here "" ."
[24:22] mn082 | We have a new PCMCIA card and and
"[24:25] mn082 | extend something and the end system , or what you mentioned here was the seamless four technologies inter - working in the end s ,"
[24:32] mn082 | then you have an an a device which you can sell .
[24:35] mn082 | If you go for a networking pfff um
"[24:38] mn082 | uh improvements , in principle , and and understanding next generation building blocks ,"
[24:44] mn082 | uh there 's no product .
[24:46] mn021 | Hmm - hmm .
"[24:50] mn082 | But it is a long term it 's long term , I think , uh work you can do ."
[24:56] mn082 | And it 's more related I believe to the skills
[24:59] mn082 | to what is available and and currently as I see what uh will be available within the NSA group .
[25:09] mn021 | OK .
"[25:09] mn082 | And uh , the point is if"
[25:11] mn082 | we focus on on this networking small more networking stuff
[25:16] mn082 | and em
"[25:18] mn082 | some application guys came into the boat and they focus on their application stuff ,"
"[25:23] mn082 | whatever this means ,"
"[25:24] mn082 | It might be we have then the active classroom , but it could be another one"
"[25:28] mn082 | that is not representative ,"
[25:31] mn082 | it 's only Hmm ?
[25:33] mn082 | Yeah . Then then is something available but
[25:39] mn082 | We have some content . We will then discuss it on next Tuesday as I mentioned .
[25:41] mn021 | Bless you .
[25:41] fn083 | Bless you .
"[25:43] mn082 | Uh Anyway , but uh that were is my answer to the question if some money is available ."
"[25:50] mn082 | The good thing is that the money is available , because everybody is paid here ."
[25:54] mn082 | So that is money that the the smallest portion of money which is available .
[25:59] mn021 | Hmm - hmm - hmm .
"[25:59] mn082 | But first of all Wilbert need more , definitely ,"
"[26:03] mn082 | because maybe then KPN is uh no more interesting to go on with this work ,"
"[26:07] mn082 | or we can convince with these kind of things which we have in mind ,"
[26:12] mn082 | uh companies like KPN .
[26:15] mn082 | So
[26:17] mn082 | And if we have other suggestions and eh have this as a long term
"[26:24] mn082 | NSA core group activity ,"
"[26:27] mn082 | and this theoretical framework , whether it is finished in half a year or one year doesn't matter , in principle , because"
[26:33] mn082 | the road map for the the next generation networks is is eh is for many years .
"[26:39] mn082 | And b before UMTS will be deployed very well , I believe eh it will be common t uh two thousand four or something like that ."
[26:48] mn082 | So .
"[26:50] mn082 | And and have an intermediate project , which is related in this direction , something like the seamless handover for two technologies or whatever ."
"[26:58] mn082 | This is a smaller portion in the gen more generic framework , I would like to say , from this proposal ."
[27:05] mn021 | OK
[27:05] mn082 | I don't know .
[27:06] mn082 | But uh that 's the point eh we are sitting here together .
[27:09] mn021 | Yeah .
"[27:13] mn082 | But for for Dietmar I think eh eh he mentioned it to me ,"
"[27:17] mn082 | it 's very clear that he will go on with a portion of time , with this USAIA stuff ,"
