[00:00] me045 | As usual .
"[58:03] mn015 | whatever , fifty some"
[58:04] mn015 | subjects ?
"[58:05] fe004 | Fifty ? You 've had fifty so far , or ?"
"[58:06] mn015 | No , we 're approaching twenty now . But , until Fey is"
[58:08] fe004 | OK .
[58:09] fe004 | Yeah .
[58:12] mn015 | some of the higher numbers .
[58:14] fe004 | Hmm .
"[58:14] mn015 | And um ,"
[58:16] mn015 | so that 's cool .
[58:18] mn015 | Can
[58:19] mn015 | a
[58:20] mn015 | do more funky stuff .
[58:20] me045 | Sure .
"[58:22] me045 | Yeah , I 'll have to look more into that data . Is that around ? Like , cuz that 's pretty much getting posted or something right away when you get it ? Or ? I guess it has to be transcribed , huh ?"
[58:28] mn015 | Um .
"[58:31] mn015 | We have uh , eh found someone here who 's hand st hand transcribing the first twelve ."
[58:37] me045 | OK .
[58:39] me045 | Uh - huh .
[58:39] mn015 | just so we can build a a language model for the recognizer .
[58:43] me045 | OK .
"[58:43] mn015 | But , um So those should be available soon ."
[58:46] me045 | OK .
[58:47] mn015 | The first twelve . And
[58:48] mn015 | I can ch ch st e
"[58:49] me045 | I mean you know that I that I looked at the first the first one and got enough data to keep me going for , you know , probably most of July . So ."
"[58:58] me045 | Yeah , a probably not the right way to do it actually ."
[59:00] mn015 | a y y y You can listen to all of them from your Solaris box .
[59:04] me045 | OK .
[59:05] mn015 | If you want .
[59:06] me045 | Right .
[59:07] mn015 | It 's always fun .
