[00:00] fe004 | I 'm What ?
[56:28] fe004 | Mm - hmm .
[56:28] me045 | Mmm .
"[56:30] me010 | you know , "" Fred said that Mary said "" , and whatever . And and so we 're , uh"
"[56:34] me010 | gonna have to , um , chain those as well ."
[56:39] fe004 | Mm - hmm .
[56:40] fe004 | So this entire thing
[56:43] me010 | Right .
"[56:44] fe004 | is inside a world , not just like the top part ."
[56:47] me010 | Right .
[56:51] mn015 | Mm - hmm .
"[57:02] me010 | So he where it gets really tricky is there 's some things , and this is where blends and all terribl So , some things which really are meant to be"
[57:05] fe004 | Yeah .
[57:08] fe004 | Yeah .
"[57:12] me010 | identified and some things which aren't . And again , all we need for the moment is some way to"
[57:13] fe004 | Right .
[57:16] fe004 | Right .
[57:19] me010 | say that .
[57:28] me010 | You could do that .
[57:32] fe004 | it sort of depends on if it is a referring exp if it 's identifiable already or it 's a new thing . If it 's a new thing you 'd have to like create a structure or whatever .
[57:36] me045 | Mm - hmm .
"[57:40] fe004 | If it 's an old thing it could be referring to , um , usually w something in a situation , right ? Or something in ontology . So ,"
[57:45] me010 | uh - huh .
"[57:48] fe004 | there 's a you know , whatever , it c it could point at one of these ."
[57:49] me010 | I just had a I just had an an idea that would be very nice if it works .
[57:53] fe004 | For what ? If it works .
"[57:53] me010 | Uh , uh , uh , I haven't told you what it is yet . This was my"
[57:55] fe004 | Mm - hmm . Mmm .
[57:57] me010 | build - up . An i an idea that would be nice i
[57:58] fe004 | Yeah .
"[57:59] fe004 | OK , we 're crossing our fingers ."
[58:00] me010 | Right . If it worked .
"[58:01] me003 | So we 're building a mental space , good ."
[58:02] me010 | Yeah .
"[58:03] me010 | Right , it was a space builder ."
"[58:05] me010 | Um , we might be able to handle context in the same way that we handle mental spaces"
"[58:14] me010 | because , uh , you have somewhat the same things going on of , uh , things being accessible or not . And so , i"
[58:14] fe004 | Mm - hmm .
[58:23] fe004 | Yep .
"[58:25] me010 | it c it it , uh I think if we did it right we might be able to get at least a lot of the same structure ."
[58:28] fe004 | Use the same Yep .
[58:32] me010 | So that pulling something out of a discourse context is
"[58:40] me010 | I think similar to other kinds of , uh , mental space phenomena . Uh , I 've I 've I 've never seen anybody"
[58:40] me003 | I see .
[58:41] fe004 | Mm - hmm .
[58:47] me010 | write that up but maybe they did . I don't know . That may be all over the literature .
[58:49] fe004 | Yeah .
"[59:02] me045 | um , you know , you say something like or or I was thinking you can say something like , "" oh , I thought , uh , you are a republican "" or something like that . Where as in English you would say , "" I thought you were "" . Um , you know , sort of the past tense being copied onto the lower verb"
[59:12] me010 | Right .
"[59:16] me045 | doesn't happen there , so you have to say something about , you know , tense is determined relative to current blah - blah - blah . Same things happens with pronouns . There 's languages where , um ,"
[59:21] fe004 | Mm - hmm .
[59:22] fe004 | Mm - hmm .
"[59:28] me045 | if you have a verb of saying then ,"
"[59:32] me045 | where OK , so a situation like "" Bob said he was going to the movies "" , where that lower subject is the same as the person who was saying or thinking , you 're actually required to have "" I "" there ."
[59:39] fe004 | Mm - hmm .
[59:45] me045 | Yeah .
[59:45] fe004 | Right .
[59:45] me003 | Right .
"[59:45] me045 | But it 's not perceived as a quotative construction . I mean , it 's been analyzed by the formalists as being a logophoric pronoun ,"
[59:48] me010 | Yeah .
"[59:53] me045 | um which means a pronoun which refers back to the person who is speaking or that sort of thing , right ? Um ,"
"[59:57] fe004 | Oh , right . Yeah , that makes sense ."
[59:58] me010 | OK .
"[59:59] me045 | but uh , that happens to sound like the word for "" I "" but is actually semantically unrelated to it ."
"[00:06] me045 | Um ,"
[00:06] fe004 | Really ?
[00:06] me045 | Yeah . Yeah .
[00:08] fe004 | You 're kidding .
"[00:09] me045 | There 's a whole book which basically operates on this assumption . Uh , Mary Dalrymple , uh , this book , a ninety - three book on , uh"
"[00:14] fe004 | No , that 's horrible ."
[00:16] me045 | on pronoun stuff .
[00:18] fe004 | That 's horrible . OK .
"[00:19] me045 | Well , yeah . And then the same thing for ASL where , you know , you 're signing and someone says something . And then , you know , so "" he say "" , and then you sort of do a role shift . And then you sign "" I , this , that , and the other "" . And you know , "" I did this "" ."
[00:28] fe004 | Uh - huh .
"[00:31] me045 | That 's also been analyzed as logophoric and having nothing to do with "" I "" . And the role shift thing is completely left out and so on . So ,"
[00:38] fe004 | Uh - huh .
[00:45] fe004 | Yeah .
"[00:46] me010 | So that that d that does sound like it 's co consistent with what we 're saying , yeah ."
[00:47] me045 | Right . Yeah .
"[00:50] fe004 | OK , so it 's kind of like the unspecified mental spaces just are occurring in context . And then when you embed them sometimes you have to pop up to the h you know , depending on the construction or the whatever ,"
[00:58] me045 | Mm - hmm .
[00:58] me010 | Mm - hmm .
"[01:00] fe004 | um , you you you 're scope is m might extend out to the the base one ."
[01:02] me045 | Yeah .
"[01:05] fe004 | It would be nice to actually use the same , um , mechanism since there are so many cases where you actually need it 'll be one or the other . It 's like , oh , actually , it 's the same same operation . So ."
[01:11] me045 | Yeah .
"[01:13] me010 | Oh , OK , so this this is worth some thought ."
"[01:14] me045 | It 's like it 's like what 's happening that , yeah , what what 's happening , uh , there is that you 're moving the base space or something like that , right ? So that 's that 's how Fauconnier would talk about it . And it happens diff under different circumstances in different languages . And so ,"
"[01:19] fe004 | Yeah , yeah ."
[01:22] fe004 | Mm - hmm .
[01:25] fe004 | Mm - hmm .
"[01:26] me045 | um , things like pronoun reference and tense which we 're thinking of as being these discourse - y things actually are relative to a Bayes space which can change . And we need all the same machinery ."
"[01:32] fe004 | Mm - hmm , right ."
[01:34] mn015 | Mm - hmm .
[01:36] fe004 | Robert .
"[01:37] me010 | Well , but , uh , this is very good actually cuz it it it to the extent that it works , it y"
[01:38] me045 | Schade .
[01:42] fe004 | Ties it all into it . Yeah .
[01:43] me010 | it it ties together several of of these things .
[01:44] fe004 | Yep .
"[01:55] fe004 | Oh , yeah ."
[01:56] me045 | Yeah .
"[01:58] fe004 | Yeah , that 's why I said "" point to Robert "" , when I did it ."
[01:58] me003 | Well every time Nancy giggles it means it means that it 's your job .
[02:13] me045 | Mm - hmm .
"[02:15] mn015 | d doesn't start with some because it 's so obvi it should be so obvious , at least it is to me , that whenever I say something I could preface that with "" I think . """
[02:23] me045 | Yeah .
[02:24] mn015 | Nuh ?
[02:25] mn015 | So there should be no categorical difference between your base and all the others that ensue .
[02:29] me045 | Yeah .
"[02:32] me010 | No , but there 's there 's a Gricean thing going on there , that when you say "" I think "" you 're actually hedging ."
[02:38] fe004 | Mmm .
[02:40] me045 | Yeah . Y
[02:40] me010 | Right .
"[02:43] mn015 | Yeah , it 's Absolutely ."
"[02:44] me045 | Yeah , it 's an it 's an evidential . It 's sort of semi - grammaticalized . People have talked about it this way . And you know , you can do sort of special things . You can , th"
"[02:56] fe004 | Actually one of the child language researchers who works with T Tomasello studied a bunch of these constructions and it was like it 's not using any kind of interesting embedded ways just to mark , you know , uncertainty or something like that . So ."
[02:56] mn015 | Yeah .
[03:05] me045 | Yeah .
"[03:07] mn015 | Yeah , but about linguistic hedges , I mean , those those tend to be ,"
[03:14] me010 | So we don't have that in here either do we ?
[03:15] me045 | Yeah .
[03:16] fe004 | Hedges ?
"[03:17] me010 | Yeah , yeah ."
"[03:18] fe004 | Hhh , I there used to be a slot for speaker , um ,"
"[03:23] fe004 | it was something like factivity . I couldn't really remember what it meant so I took it out . But it 's something we we were talking about sarcasm too , right ?"
[03:25] me045 | Yeah . Um .
"[03:26] me045 | Well we were just talking about this sort of evidentiality and stuff like that , right ? I mean ,"
"[03:29] fe004 | Oh , oh . Oh , yeah , yeah , right ."
[03:34] me010 | So we probably should .
[03:36] fe004 | Yeah .
[03:37] mn015 | Mm - hmm .
[03:39] me010 | Confidence or something like that .
[03:47] fe004 | Yeah .
"[03:48] mn015 | Uh great word in the English language is called "" about "" ."
"[03:51] mn015 | If you study how people use that it 's also "" about . """
[03:53] fe004 | What 's the word ?
[03:55] me010 | About .
"[03:57] me010 | Oh , that in that use of "" about "" , yeah ."
[03:57] mn015 | clever .
"[03:57] fe004 | Oh , oh , oh , as a hedge ."
[03:58] me045 | Yeah .
[04:00] me010 | And I think And I think y if you want us to spend a pleasant six or seven hours you could get George started on that .
[04:10] me010 | Yeah .
[04:12] me045 | Yeah .
[04:14] me010 | Yeah .
[04:18] fe004 | What ?
[04:21] me045 | Ask me about it later I 'll tell you how .
[04:30] fe004 | I 'd love to know .
"[04:31] me003 | Oh , man ."
"[04:32] fe004 | So , and and I think , uh , someone had raised like sarcasm as a"
[04:36] fe004 | complication at some point . And
[04:39] fe004 | we just won't deal with sarcastic people .
"[04:49] me045 | hhh , I don't know , m"
"[04:50] fe004 | Certainly not as some Well , they 're intonational markers I think for the most part . I don't"
[04:53] me045 | Yeah .
"[04:58] me045 | There 's lots of different attitudes that that the speaker could have and that we can clearly identify , and so on , and so forth . But like"
[05:02] fe004 | Yeah .
[05:05] me045 | what are the distinctions among those that we actually care about for our current purposes ?
[05:07] me010 | Right .
"[05:09] me010 | Right , so , uh , this this raises the question of what are our current purposes ."
[05:09] fe004 | Mm - hmm .
[05:13] me010 | Right ?
[05:16] mn015 | Mmm .
[05:17] mn015 | Yeah .
"[05:17] me010 | Uh , so , um ,"
"[05:20] me010 | I I don't know the answer but but , um , it does seem that ,"
"[05:26] me010 | you know , this is this is coming along . I think it 's it 's converging . It 's as far as I can tell there 's this one major thing we have to do which is the mental the whole s mental space thing ."
[05:34] me010 | And then there 's some other minor things .
[05:35] fe004 | Mm - hmm .
"[05:37] me010 | Um , and we 're going to have to s sort of bound the complexity . I mean , if we get everything that anybody ever thought about you know , w we 'll go nuts ."
[05:42] me045 | Yeah .
[05:43] me010 | So we had started with the idea that
"[05:47] me010 | the actual , uh , constraint was"
[05:55] me010 | related to this tourist domain
"[05:57] me010 | and the kinds of interactions that might occur in the tourist domain ,"
"[06:01] me010 | assuming that people were being helpful and weren't trying to d you know , there 's all sorts of God knows , irony , and stuff like which you isn't probably of much use in dealing with a tourist guide ."
[06:08] me045 | Yeah .
[06:12] me010 | Yeah ?
[06:13] me010 | Uh .
[06:13] fe004 | M mockery .
[06:14] me010 | Right . Whatever . So
[06:21] me010 | Go ahead .
[06:31] me045 | Yeah .
[06:32] me010 | N no . No .
[06:34] me045 | Right .
[06:36] me010 | No .
[06:40] me010 | Right .
"[06:40] me045 | We have a theoretical model of sarcasm now . Yeah , right , I mean ."
"[06:43] me010 | Right . No , no . Anyway , so so , um , I guess"
"[06:50] me010 | uh , let me make a proposal on how to proceed on that , which is that , um ,"
"[07:00] me010 | it was Keith 's , uh , sort of job over the summer to come up with this set of constructions . Uh , and my suggestion to Keith is that"
"[07:13] me010 | you , over the next couple weeks , n don't try to do them in detail or formally but just try to describe which ones you think we ought to have . Uh , and then when Robert gets back we 'll look at the set of them ."
[07:17] me045 | Mmm .
[07:25] me045 | OK .
[07:31] me045 | OK .
"[07:32] me010 | Just just sort of , you know , define your space ."
"[07:34] me045 | Yeah , OK ."
"[07:35] me010 | And , um , so th these are this is a set of things that I think we ought to deal with ."
[07:41] me045 | Yeah .
[07:42] me010 | And then we 'll we 'll we 'll go back over it and w people will will give feedback on it . And then then we 'll have a at least initial
[07:45] me045 | OK .
[07:54] me010 | spec of of what we 're actually trying to do . And that 'll also be useful for anybody who 's trying to write a parser .
[07:56] me045 | Yeah .
"[08:06] me010 | "" who might want "" et cetera . So ,"
[08:07] me045 | OK .
"[08:09] me010 | So a and we get this this , uh , portals fixed and then we have an idea of the sort of initial range . And then of course Nancy you 're gonna have to , uh , do your set of but you have to do that anyway ."
"[08:26] fe004 | For the same , yeah , data . Yeah , mm - hmm ."
"[08:27] me010 | So so we 're gonna get the w we 're basically dealing with two domains , the tourist domain and the and the child language learning . And we 'll see what we need for"
[08:32] me003 | Mmm .
"[08:37] me010 | those two . And then my proposal would be to , um , not totally cut off more general discussion but to focus really detailed work on the subset of things that we 've we really want to get done ."
[08:51] me045 | Mm - hmm .
[08:56] me045 | Mm - hmm .
"[08:57] me010 | And then as a kind of separate thread , think about the more general things and and all that ."
[09:02] me045 | Mm - hmm .
"[09:09] me010 | Uh , without doubt ."
[09:10] fe004 | Yeah .
[09:10] me010 | Yeah . But what I want to do is is is to to constrain the things that we really feel responsible for .
[09:11] mn015 | even suggest some solutions . Yeah .
[09:17] mn015 | Mmm .
[09:18] me045 | Mm - hmm .
[09:18] me010 | So that that we say these are the things we 're really gonna try do by the end of the summer
"[09:22] me010 | and other things we 'll put on a list of of research problems or something , because"
"[09:28] me010 | you can easily get to the point where nothing gets done because every time you start to do something you say , "" oh , yeah , but what about this case ? """
[09:37] me045 | Mm - hmm .
[09:37] me010 | This is this is called being a linguist .
[09:39] mn015 | Mmm .
"[09:42] me010 | And , uh ,"
[09:43] me045 | Basically .
[09:44] me010 | Huh ?
[09:55] fe004 | Yeah .
[09:57] me010 | Right .
"[10:00] fe004 | Sure , yeah ."
[10:02] me010 | a general way to proceed ?
"[10:02] me045 | Yeah , yeah , we 'll start with that , just figuring out what needs to be done then actually"
[10:08] me045 | the next step is to start trying to do it . Got it .
[10:10] me010 | Exactly right .
[10:11] mn015 | Mmm .
[10:13] mn015 | Mmm .
[10:13] me045 | OK .
[10:18] me045 | You ran out of power .
[10:19] mn015 | Huh ?
[10:20] me003 | Can I ask a quick question about this side ?
[10:21] fe004 | Yes .
[10:22] mn015 | Yeah .
"[10:28] fe004 | Um ,"
"[10:30] fe004 | not really just on the constructions , right ?"
"[10:32] me003 | Yeah , like constructions can inherit from other things , am I right ? Yeah ."
"[10:33] fe004 | Um ,"
[10:35] fe004 | yeah .
[10:37] fe004 | I didn't want to think too much about that for for now .
[10:39] me003 | OK .
"[10:40] fe004 | So , uh , maybe it was subconsciously intentional ."
[10:40] me010 | Yeah .
"[10:42] me010 | Yeah , uh yeah ."
"[10:42] me045 | Um , yeah , there should be I I wanted to s find out someday if there was gonna be some way of dealing with ,"
"[10:50] me045 | uh , if this is the right term , multiple inheritance , where one construction is inheriting from , uh"
[10:53] me010 | Mm - hmm .
[10:53] fe004 | Uh - huh .
[10:56] fe004 | Yep .
[10:59] fe004 | Yeah .
"[11:03] me045 | which of you know , which are how they 're getting bound together ."
"[11:04] me010 | Yeah , right , right , right ."
"[11:05] fe004 | Yeah , and and there are certainly cases like that . Even with just semantic schemas we have some examples . So ,"
"[11:05] me010 | Yeah , yeah , yeah ."
[11:10] me010 | Right .
[11:11] fe004 | and we 've been talking a little bit about that anyway .
[11:12] me010 | Yeah . So what I would like to do is separate that problem out . So
[11:15] fe004 | Inherits .
[11:16] me045 | OK .
"[11:17] me010 | um , my argument is there 's"
[11:21] me010 | nothing you can do with that that you can't do by just having more
"[11:26] me045 | Yeah , yes ."
"[11:27] me010 | constructions . It 's uglier and it d doesn't have the deep linguistic insights and stuff . Uh ,"
[11:28] me045 | That 's right .
[11:32] me010 | Right .
[11:34] me010 | And so I what I 'd like to do is is in the short run focus on
"[11:39] me010 | getting it right . And when we think we have it right then saying , "" aha ! , can we make it more elegant ? """
[11:40] me045 | Yeah .
[11:45] me045 | Yeah .
"[11:45] me010 | Can can we , uh What are the generalizations , and stuff ? But rather than try to guess"
[11:46] me045 | Connect the dots . Yeah .
[11:52] me010 | a inheritance structure and all that sort of stuff before we know what we 're doing . So I would say in the short run
[11:52] me045 | Yep .
[11:54] me045 | Yeah .
[11:56] me045 | Yeah .
[11:58] me010 | we 're not gonna b
"[11:59] me010 | First of all , we 're not doing them yet at all ."
"[12:02] me010 | And and it could be that half way through we say , "" aha ! , we we now see how we want to clean it up . """
[12:08] me045 | Mm - hmm .
"[12:09] me010 | Uh , and inheritance is only one I mean , that 's one way to organize it but there are others . And it may or may not be the best way ."
[12:16] me045 | Yeah .
"[12:20] me010 | I 'm sorry , you had news ."
[12:20] mn015 | Mmm .
"[12:21] mn015 | Oh , just small stuff . Um ,"
"[12:24] mn015 | thanks to Eva on our web site we can now ,"
"[12:27] mn015 | if you want to run JavaBayes , uh , you could see get download these classes ."
[12:34] mn015 | And then it will enable you she modified the GUI so it has now a m a m a button menu item for saving it into the embedded JavaBayes format . So that 's wonderful .
[12:40] fn050 | Mm - hmm .
[12:43] me003 | Mmm .
[12:47] me010 | Great .
"[12:53] fn050 | I was just checking like , when we wanna , um ,"
"[13:00] fn050 | You know how you asked whether we can , like , just observe all the variables like in the same list ? You can't . You have to make separate queries every time ."
[13:05] mn015 | Uh - huh .
"[13:07] mn015 | OK , that 's that 's a bit unfortunate but"
[13:09] fn050 | Yeah .
"[13:13] fn050 | You just have to have a long list of , you know , all the variables . Basically ."
[13:15] mn015 | Yeah .
"[13:16] fe004 | Uh , all the things you want to query , you just have to like ask for separately ."
"[13:18] fn050 | Yeah , yeah ."
"[13:20] mn015 | Well that 's probably maybe in the long term that 's good news because it forces us to think a little bit more carefully how how we want to get an out output . Um , but that 's a different discussion for a different time ."
"[13:34] mn015 | And , um , I don't know . We 're really running late , so I had , uh , an idea"
"[13:44] mn015 | yesterday but , uh , I don't know whether we should even start discussing ."
"[13:48] me010 | W what Yeah , sure , tell us what it is ."
"[13:50] mn015 | Um ,"
"[13:53] mn015 | the construal bit that , um , has been pointed to but hasn't been , um , made precise by any means , um ,"
[14:26] fe004 | Bayes ?
"[14:27] mn015 | Bayes - net , um , completely from scratch every time you do construal . So you have nothing ."
[14:28] fe004 | OK .
[14:36] mn015 | Just a white piece of paper .
"[14:36] me010 | Mmm , right ."
[14:44] fe004 | Grout out the things that that you need .
[14:47] me010 | Right .
"[14:47] mn015 | then y you 'd simply write , uh , these into onto your your white piece of paper . And"
"[15:02] mn015 | that configures to what the situation is , IE , the context dependent stuff . So you get whatever comes from discourse"
"[15:09] mn015 | but also filtered . Uh , so only the ontology relevant stuff from the discourse plus the situation and the user model ."
[15:14] fe004 | Mm - hmm .
"[15:17] mn015 | And that fills in your CPT 's with which you can then query , um , the the net that you just wrote"
[15:25] mn015 | and find out how thing X is construed as an utterance
"[15:36] mn015 | we have , you know , precise format in which to write it , so we write it down . You query it . You get the result , and you throw it away ."
[15:43] mn015 | And the the nice thing about this idea is that you don't ever have to sit down and think about it or write about it .
"[15:48] mn015 | You may have some general rules as to how things can be can be construed as what , so that will allow you"
[15:54] mn015 | to craft the the the initial notes . But it 's in that respect it 's completely scalable .
"[16:00] mn015 | Because it doesn't have any prior , um , configuration . It 's just you need an ontology of the domain and you need the context dependent"
[16:11] mn015 | modules . And if this can be made to work
"[16:14] mn015 | at all , that 'd be kind of funky ."
"[16:17] me010 | Um , it sounds to me like you want P R Ms ."
"[16:27] me010 | No , no , you can't . See the the critical thing about the PRM is it gives these relations in general form . So once you have instantiated"
[16:39] me010 | the PRM with the instances and ther then you can then you can unfold it .
[16:41] mn015 | Then you can .
"[16:43] mn015 | Mm - hmm , yeah . No , I was m using it generic . So ,"
"[16:52] me010 | Well , no , but it matters a lot because you what you want are these generalized rules"
"[16:59] me010 | about the way things relate , th that you then instantiate in each case ."
[17:01] mn015 | And then then instantiate them . That 's ma maybe the the way the only way it works . @ @
"[17:06] me010 | Yeah , that 's the only way it could work . I we have a our local expert on P R Ms , uh , but my guess is that they 're not currently good enough to do that . But we 'll we 'll have to see ."
"[17:18] mn015 | But , uh ,"
[17:22] me010 | Yes . This is that 's that would be a good thing to try .
[17:26] me010 | It 's related to the Hobbs abduction story
[17:39] mn015 | Except there 's no no theorem prover involved .
[17:39] fe004 | Best explanation .
"[17:42] me010 | No , there isn't a theorem prover but there but but the , um ,"
"[17:47] me010 | The cove the the P R Ms are like rules of inference and you 're you 're coupling a bunch of them together . And then ins instead of proving you 're trying to , you know , compute the most likely ."
"[17:55] mn015 | Mm - hmm , yeah ."
[18:05] me010 | Tricky .
"[18:06] me010 | But you yeah , it 's a good it 's a it 's a good thing to put in your thesis proposal ."
[18:10] mn015 | What 's it ?
[18:13] me010 | So are you gonna write something for us before you go ?
[18:15] mn015 | Yes . Um .
"[18:16] me010 | Oh , you have something ."
"[18:19] mn015 | In the process thereof , or whatever ."
[18:20] me010 | OK .
"[18:20] me010 | So , what 's what when are we gonna meet again ?"
"[18:24] fe004 | When are you leaving ? Thursday , Friday ?"
[18:26] fn050 | Fri -
[18:28] fe004 | OK .
[18:28] me010 | Yeah .
"[18:31] mn015 | I would suggest as soon as possible . Do you mean by we , the whole ben gang ?"
"[18:36] me010 | N no , I didn't mean y just the two of us . We obviously we can we can do this . But the question is do you want to ,"
[18:52] mn015 | We can do it Th - Thursday again . Yeah .
[18:57] me045 | Fine with me .
[19:01] me045 | Should we do the one PM time
[19:06] mn015 | Sure .
[19:06] me045 | OK .
[19:08] me010 | Alright .
[19:09] fn050 | Hmm .
"[19:09] mn015 | Thursday at one ? I can also maybe then sort of run through the , uh the talk I have to give at EML which highlights all of our work ."
[19:21] mn015 | And we can make some last minute changes on that .
[19:26] me003 | You can just give him the abstract that we wrote for the paper .
[19:33] fe004 | Can we do can we do one - thirty ?
[19:33] me010 | Alright .
[19:35] mn015 | No .
"[19:36] fe004 | Oh , you already told me no . One , OK , it 's fine . I can do one . It 's fine ."
[19:37] mn015 | But we can do four .
[19:42] fe004 | It 's fine .
[19:44] mn015 | One or four . I don't care .
[19:48] mn015 | If it 's equal for all ? What should we do ?
"[19:50] fe004 | Yeah , it 's fine . Fine . Yeah no , no , no , uh , I don't care . It 's fine ."
[19:50] mn015 | Four ?
"[19:54] mn015 | It 's equal to all of us , so you can decide one or four ."
[19:58] me003 | The pressure 's on you Nancy .
"[19:59] mn015 | Liz actually said she likes four because it forces the Meeting Recorder people to cut , you know the discussions short ."
[20:05] fe004 | OK .
"[20:06] fe004 | OK , four ."
[20:08] fe004 | OK ? OK . I am .
"[20:08] me045 | Well , if you insist , then ."
