[00:00] me013 | No .
[39:35] fe008 | would be easier for an an analyst to put in rather than the subject himself .
"[39:39] me011 | I think that that was what happened with TIMIT ,"
[39:42] fe008 | OK .
[39:42] me011 | was that it was an analyst .
"[39:43] fe016 | Yeah , I don't know how it came from ."
[39:44] fe008 | OK .
[39:44] me013 | Where Where 's where does uh
[39:46] me013 | New New York west of west of uh New York City
[39:50] me013 | uh
[39:51] me013 | and uh
[39:52] fe016 | So . That 's New England I think . Yeah .
[39:53] me011 | New England
[39:53] me013 | N
"[39:54] me013 | No , it 's not ."
[39:56] me013 | Oh no .
[39:56] fe008 | I sort of thought they were part of the one of the Midlands .
"[39:59] me011 | "" Other "" , it goes under "" Other "" , definitely under "" Other "" ."
[40:04] me013 | Pennsylvania Yeah . Pennsylvania is not New England .
[40:06] me013 | and uh New Jersey is not New England and Maryland is not New England and none of those are the South .
[40:09] me011 | OK . So .
[40:10] me011 | Another suggestion .
[40:12] fe008 | Yeah .
"[40:12] me011 | Rather than have circle fill in forms ,"
"[40:14] me011 | say "" Region , open paren , E G Southern comma Western comma close paren colon . """
[40:19] fe008 | OK .
[40:20] fe016 | OK !
[40:21] me013 | That 's good .
[40:21] mn005 | Yeah .
"[40:21] fe008 | Fine by me , fine by me ."
[40:21] fe016 | Sure !
[40:22] me013 | I like that .
[40:22] fe008 | Yeah .
[40:23] fe016 | Let 's just And we 'll see what we get .
[40:23] mn005 | Yeah .
[40:23] me013 | We 're all sufficiently tired of this
[40:24] fe008 | Be easier on the subjects .
[40:26] me013 | that we 're agreeing with you .
[40:26] fe008 | I think that 's fine .
[40:28] fe008 | I like that . I like that .
[40:28] me013 | You like it ?
[40:29] me013 | OK .
"[40:29] fe008 | Yeah , I do ."
[40:29] me013 | Good .
"[40:30] me011 | Actually , maybe we do one non - English one as well ."
"[40:33] me011 | Southern , Cockney ?"
[40:36] mn005 | Yeah .
[40:37] me011 | Is that a real accent ?
"[40:38] fe008 | Sure , yeah !"
[40:38] mn005 | Yeah .
[40:39] me011 | How do you spell it ?
[40:39] fe008 | I think that 's fine .
[40:40] me013 | Cockney ?
[40:42] me011 | N E Y ?
[40:42] me013 | Yeah .
[40:45] me013 | Liverpuddlian .
[40:46] fe008 | Yeah .
[40:46] fe008 | Alright .
"[40:49] me011 | OK , we 'll do it that way . Actually , I like that a lot ."
[40:52] me013 | OK .
"[40:52] me011 | Because that get 's at both of the things we were trying to do ,"
"[40:54] me011 | the granularity ,"
[40:55] me011 | and the person can just self - assess and we don't have to argue about what these regions are .
[40:59] fe008 | That 's right .
[40:59] mn005 | Yeah .
[40:59] me013 | OK .
[41:00] fe008 | And it 's easy on the subjects .
[41:01] me011 | Yep .
[41:01] fe008 | Now I have one suggestion on the next section .
[41:01] mn005 | Mm - hmm .
[41:02] me011 | Mm - hmm .
"[41:03] fe008 | So you have native language , you have region ,"
[41:05] fe008 | and then you have time spent in English speaking country .
"[41:08] fe008 | Now , I wonder if it might be useful to have another open field saying "" which one"
[41:22] me013 | Yes .
"[41:23] fe008 | It doesn't have to be ex all at all exact , just in the same open field"
[41:27] fe008 | format that you have .
"[41:27] me011 | Yep , just which one . I think that 's fine ."
[41:29] fe008 | Mm - hmm .
[41:29] mn005 | Mm - hmm .
"[41:30] fe008 | "" which one"
[41:35] me013 | OK .
[41:40] me013 | We done ?
[41:40] me011 | Yep .
"[41:41] fe008 | Yeah , that 's good ."
[41:41] me013 | OK .
[41:42] me013 | um
[41:43] me013 | s e
[41:43] me013 | Any any other
[41:45] me013 | uh open mike topics or should we go right to the digits ?
"[41:48] me011 | Um , did you guys get my email on the multitrans ?"
[41:52] me011 | OK .
[41:52] fe008 | Isn't that wonderful ! Yeah .
[41:53] fe008 | Excellent ! Thank you !
[41:53] me011 | Yeah . So .
[41:54] fe016 | I 'm s
[41:54] me011 | So . I I have a version also which actually displays all the channels .
[41:54] fe016 | I ha It 's really great .
[41:58] me011 | But it 's hideously slow .
"[42:00] fe008 | So you this is n Dan 's patches , Dan Ellis 's patches ."
"[42:01] me011 | The what the ones I applied , that you can actually do are Dan 's , because it doesn't slow it down ."
[42:02] fe016 | M
[42:05] fe008 | Fantastic !
[42:06] me011 | Just uses a lot of memory .
"[42:10] me011 | No , the the one that 's installed is fine . It 's not slow at all ."
[42:13] me011 | I wrote another version .
"[42:15] me011 | Which , instead of having the one pane with the one view ,"
[42:18] me011 | It has multiple panes with the views .
[42:19] mn005 | Yeah .
[42:20] fe016 | Mm - hmm .
[42:20] me011 | But the problem with it
[42:21] me011 | is the drawing of those waveforms is so slow
[42:25] me011 | that every time you do anything it just crawls .
[42:27] fe008 | Mm - hmm .
[42:28] me011 | It 's really bad .
"[42:28] fe016 | So , it it 's the redrawing of the w"
[42:29] me011 | Mm - hmm .
"[42:30] fe016 | oh uh - huh ,"
[42:30] fe016 | w as you move .
"[42:32] me011 | As you play , as you move , as you scroll ."
"[42:34] me011 | Just about anything , and it it was so slow it was not usable ."
[42:37] me011 | So that 's why I didn't install it and didn't pursue it .
"[42:41] fe008 | in terms of like disentangling overlaps and things ,"
[42:42] fe016 | Oh yeah .
[42:43] fe008 | that 'll be a big help .
[42:43] me011 | So .
[42:43] me011 | I think that the one Dan has is usable enough .
[42:46] me011 | It doesn't display the others . It displays just the mixed signal .
[42:49] fe008 | Mm - hmm .
[42:50] me011 | But you can listen to any of them .
[42:52] fe008 | That 's excellent . He also has version control which is another nice
[42:53] mn005 | Yeah .
"[42:58] fe008 | Oh , I thought it was in one of those patches ."
[42:58] me011 | No .
[42:59] me011 | No .
[42:59] fe008 | Oh OK .
[43:00] fe008 | Well .
[43:00] fe008 | Alright .
[43:00] fe016 | So is there any hope for actually displaying
[43:03] fe016 | the wave form ?
"[43:03] me011 | Um , not if we 're going to use Tcl - TK"
[43:06] fe016 | OK .
[43:06] me011 | At least not if we 're going to use Snack .
"[43:12] fe008 | Well , or use the one that crawls ."
[43:12] fe016 | OK .
[43:18] fe016 | whatever 's there . And
[43:25] fe016 | I mean .
[43:30] fe016 | a feature stream .
"[43:32] fe016 | And it 's just , you know , a a"
[43:32] mn005 | Yeah .
"[43:33] fe016 | uni - dimensional feature ,"
[43:35] fe016 | varying in time .
"[43:37] fe016 | And we want to plot that , instead of the whole wave form ."
[43:39] me011 | I mean .
[43:39] mn005 | Yeah .
[43:39] fe016 | That might be faster . Right ? So .
[43:41] mn005 | Yeah .
[43:41] me011 | We we could do that but that would mean changing
[43:44] me011 | the code .
[43:45] me011 | I mean this isn't a program we wrote .
[43:45] me013 | Yeah .
"[43:46] me011 | This is a program that we got from someone else ,"
[43:48] me011 | and we 've done patches on .
[43:48] fe016 | OK .
[43:50] fe016 | OK .
[43:50] fe008 | Mm - hmm .
[43:50] mn005 | Yeah .
"[43:50] fe016 | Well , I 'll talk to you about it and we can see but"
[43:50] me013 | Cou -
[43:50] me011 | So .
[43:51] me011 | Yeah .
[43:51] me013 | i e
"[43:52] me013 | I mean , y"
[43:55] me013 | Is there some way to have someone write
[43:58] me013 | patches
[44:02] me011 | Not easily . I mean y yes we could do that . You could you can write
[44:05] me011 | widgets in C .
[44:07] me013 | Yeah .
"[44:10] me011 | Let 's try it with Dan 's and if that isn't enough ,"
"[44:13] me011 | we can do it otherwise . I think it is , cuz when I was playing with it , the mixed signal has it all in there ."
[44:18] me011 | And so it 's really It 's not too bad to find places in the in the stream
[44:22] fe016 | OK .
[44:23] me011 | where things are happening .
[44:24] mn005 | Hmm ?
[44:24] me011 | So I I don't think it 'll be bad .
[44:25] fe008 | also the case that that uh this multi - wave thing
"[44:31] fe008 | So . Dan proposed it to the Transcriber central people ,"
[44:34] fe008 | and it 's likely that uh So . And and
[44:36] fe008 | they responded favorably looks as though it will be incorporated in the future version .
[44:37] fe016 | Oh .
[44:40] fe008 | They said that the only reason they hadn't had the multi the parallel
[44:43] fe008 | uh stream one before was simply that
[44:47] fe008 | And uh
[44:47] mn005 | Yeah .
[44:51] fe008 | @ @ .
[44:51] me013 | They may well have not had much demand for it .
"[44:53] fe008 | Well that 's that 's that 's true , too ."
[44:54] me013 | Yeah .
[44:55] mn005 | Yeah .
[44:59] fe008 | Oh . No .
[44:59] me011 | Depends on how much work they did .
[44:59] fe008 | I just mean I just mean that it 's that that his So .
[45:00] mn005 | Oh .
[45:04] fe008 | we now have
[45:05] fe016 | Mm - hmm .
[45:05] fe008 | does have the status of
[45:08] fe008 | l likely being incorporated into the central code .
[45:10] fe016 | OK .
"[45:10] fe008 | Now , tha Now , if we develop further"
"[45:15] me011 | I think if if if one of us sat down and coded it , so that it could be displayed fast enough"
[45:17] fe008 | set that way .
[45:20] me011 | I 'm sure they would be quite willing to incorporate it .
[45:21] fe008 | Mm - hmm .
[45:22] me011 | But it 's not a trivial task .
[45:23] fe008 | Mm - hmm . Yeah .
"[45:27] fe008 | I just like the idea of it being something that 's ,"
"[45:29] fe008 | you know , tied back into the original , so that other people can benefit from it ."
[45:29] me011 | Yeah .
[45:33] fe008 | Yeah .
[45:34] fe008 | However . I also understand that you can have
[45:39] fe008 | always go that w route .
[45:40] fe008 | Yeah .
[45:41] mn005 | OK .
"[45:42] me011 | anyway , shall we do digits ?"
"[45:44] me013 | Yeah . Let 's do digits ,"
"[45:45] me013 | uh , and then we 'll turn off the mikes , and then I have one other thing to discuss ."
[45:48] fe008 | OK .
[45:49] fe016 | I actually have to leave . So .
[45:49] me011 | OK .
[45:51] fe016 | Um .
[45:53] me013 | Oh .
[45:53] me011 | OK .
"[45:54] fe016 | Well , I can wait for the digits but I"
"[45:54] me011 | Well , you want to go first ? Or ."
[45:56] fe016 | can't stay for the discussion I c
[45:59] fe016 | So .
"[46:00] fe008 | Well , should we e should we switch off the g"
[46:00] fe016 | Um .
[46:01] me011 | Do you wanna go do digits or do you wanna just skip digits ?
"[46:04] fe016 | But I don't wanna butt in ,"
[46:06] me011 | Alright .
[46:06] fe016 | or something .
[46:06] me011 | You go ahead .
[46:09] fe016 | I 'm I 'll be around just have to make call before quarter of . So .
[46:12] mn005 | Mm - hmm .
[46:13] me013 | Uh
[46:17] fe016 | Or we can talk about it .
[46:18] fe008 | Ke -
[46:18] me011 | Why don't you read the digits ?
[46:19] fe016 | OK . Alright .
"[46:20] me013 | Yeah , why don't you read the digits and then you can go ."
"[46:21] fe016 | Oh , this is the new one ."
[46:23] me013 | Yeah .
[46:23] fe016 | Alright .
[46:25] me011 | Don't read the old one .
[46:25] fe016 | And the
[46:26] fe016 | time is .
[46:27] fe016 | OK .
[49:48] me011 | OK
[49:50] me013 | OK .
[49:50] fe008 | Turn it off .
[49:52] fe008 | OK .
